과목코드,과목명,주차,주차별 학습내용
AI001,IoT센서및센서시스템(캡스톤디자인),1,강의개요 및 교재소개
AI001,IoT센서및센서시스템(캡스톤디자인),2,센서의 개요 - 광센서, 도센서, 적외선센서
AI001,IoT센서및센서시스템(캡스톤디자인),3,센서의 활용
AI001,IoT센서및센서시스템(캡스톤디자인),4,캡스톤 기획서 작성
AI001,IoT센서및센서시스템(캡스톤디자인),5,캡스톤 기획서 작성
AI001,IoT센서및센서시스템(캡스톤디자인),6,캡스톤 기획서 작성
AI001,IoT센서및센서시스템(캡스톤디자인),7,프로젝트 실무 진행
AI001,IoT센서및센서시스템(캡스톤디자인),8,수시 평가 - 프로젝트 기획 보고서
AI001,IoT센서및센서시스템(캡스톤디자인),9,프로젝트 실무 진행
AI001,IoT센서및센서시스템(캡스톤디자인),10,프로젝트 실무 진행
AI001,IoT센서및센서시스템(캡스톤디자인),11,프로젝트 실무 진행
AI001,IoT센서및센서시스템(캡스톤디자인),12,프로젝트 실무 진행
AI001,IoT센서및센서시스템(캡스톤디자인),13,프로젝트 실무 진행
AI001,IoT센서및센서시스템(캡스톤디자인),14,프로젝트 실무 진행
AI001,IoT센서및센서시스템(캡스톤디자인),15,기말 평가 - 최종 보고서 제출
AI002,객체지향프로그래밍,1,오리엔테이션
AI002,객체지향프로그래밍,2,자바 기초: 변수, 자료형, 연산자
AI002,객체지향프로그래밍,3,제어문: 선택문과 반복문
AI002,객체지향프로그래밍,4,객체 지향 프로그래밍 소개
AI002,객체지향프로그래밍,5,클래스와 객체
AI002,객체지향프로그래밍,6,상속과 다형성
AI002,객체지향프로그래밍,7,인터페이스
AI002,객체지향프로그래밍,8,중간고사
AI002,객체지향프로그래밍,9,예외 처리 및 파일 입출력
AI002,객체지향프로그래밍,10,자바 GUI 프로그래밍
AI002,객체지향프로그래밍,11,이벤트 처리
AI002,객체지향프로그래밍,12,JDBC를 활용한 데이터베이스 연결
AI002,객체지향프로그래밍,13,프로젝트 진행 및 피드백
AI002,객체지향프로그래밍,14,최종 프로젝트 발표
AI002,객체지향프로그래밍,15,기말고사
AI003,기계학습,1,과목 소개 및 기계학습 개요
AI003,기계학습,2,인공지능
AI003,기계학습,3,탐색과 최적화(1)
AI003,기계학습,4,탐색과 최적화(2)
AI003,기계학습,5,지식 표현과 추론(1)
AI003,기계학습,6,지식 표현과 추론(2)
AI003,기계학습,7,기계학습(1)
AI003,기계학습,8,PBL1 발표
AI003,기계학습,9,기계학습(2)
AI003,기계학습,10,기계학습(3)
AI003,기계학습,11,기계학습(4)
AI003,기계학습,12,계획수립
AI003,기계학습,13,데이터마이닝
AI003,기계학습,14,PBL2 발표
AI003,기계학습,15,기말고사
AI004,모바일특론,1,오리엔테이션, 교과목 소개
AI004,모바일특론,2,전자파이론 - 전류의 자계현상, 전자유도현상
AI004,모바일특론,3,전자파이론 - 맥스웰 방정식
AI004,모바일특론,4,급전선이론 - 임피던스 정합, 도파관
AI004,모바일특론,5,안테나이론 - 미소다이폴
AI004,모바일특론,6,안테나이론 - 다이폴 안테나의 복사이론
AI004,모바일특론,7,안테나의 종류 및 특성 - 복사원리에 따른 분류
AI004,모바일특론,8,중간고사
AI004,모바일특론,9,안테나의 종류 및 특성 - 장, 중파용 안테나, 단파용 안테나
AI004,모바일특론,10,안테나의 종류 및 특성 - 초단파용 안테나, 극초단파용 안테나
AI004,모바일특론,11,전파의 전파이론 - 전파의 일반적 분류, 지상파 전파
AI004,모바일특론,12,전파의 전파이론 - 전리층파 전파, 대류권파 전파
AI004,모바일특론,13,우주통신 및 위성통신
AI004,모바일특론,14,공중선 급전선에 관한 측정 - 전력 측정
AI004,모바일특론,15,기말고사
AI005,빅데이터분석이론,1,데이터 과학 소개
AI005,빅데이터분석이론,2,파이썬 기초
AI005,빅데이터분석이론,3,파이썬을 활용한 파일 다루기
AI005,빅데이터분석이론,4,웹 크롤링 기초
AI005,빅데이터분석이론,5,데이터베이스 개념
AI005,빅데이터분석이론,6,넘파이와 판다스
AI005,빅데이터분석이론,7,데이터 시각화
AI005,빅데이터분석이론,8,중간고사
AI005,빅데이터분석이론,9,데이터 전처리 기법
AI005,빅데이터분석이론,10,회귀 분석
AI005,빅데이터분석이론,11,상관 분석
AI005,빅데이터분석이론,12,인공지능과 빅데이터
AI005,빅데이터분석이론,13,빅데이터 분석 응용
AI005,빅데이터분석이론,14,프로젝트 최종 발표
AI005,빅데이터분석이론,15,기말고사
AI006,스마트IT프로젝트1(캡스톤디자인),1,오리엔테이션
AI006,스마트IT프로젝트1(캡스톤디자인),2,졸업작품 기획 - 팀빌딩
AI006,스마트IT프로젝트1(캡스톤디자인),3,졸업작품 기획 - 시장조사
AI006,스마트IT프로젝트1(캡스톤디자인),4,졸업작품 기획 - 기능 정의
AI006,스마트IT프로젝트1(캡스톤디자인),5,졸업작품 기획 - 추진 계획 확정
AI006,스마트IT프로젝트1(캡스톤디자인),6,졸업작품 구현 - 팀별 프로젝트 진행
AI006,스마트IT프로젝트1(캡스톤디자인),7,졸업작품 구현 - 팀별 프로젝트 진행
AI006,스마트IT프로젝트1(캡스톤디자인),8,졸업작품 구현 - 팀별 프로젝트 진행
AI006,스마트IT프로젝트1(캡스톤디자인),9,졸업작품 구현 - 팀별 프로젝트 진행
AI006,스마트IT프로젝트1(캡스톤디자인),10,졸업작품 구현 - 중간 점검
AI006,스마트IT프로젝트1(캡스톤디자인),11,산출물 작성 - 기능 보완 및 산출물 작성
AI006,스마트IT프로젝트1(캡스톤디자인),12,산출물 작성 - 기능 보완 및 산출물 작성
AI006,스마트IT프로젝트1(캡스톤디자인),13,산출물 작성 - 기능 보완 및 산출물 작성
AI006,스마트IT프로젝트1(캡스톤디자인),14,산출물 작성 - 산출물 제출
AI006,스마트IT프로젝트1(캡스톤디자인),15,발표 및 평가
AI007,스마트전자회로,1,교과목 소개 및 오리엔테이션
AI007,스마트전자회로,2,전기전자통신공학의 물리적 기초 (1)
AI007,스마트전자회로,3,전기전자통신공학의 물리적 기초 (2)
AI007,스마트전자회로,4,수동 소자의 동작 원리
AI007,스마트전자회로,5,능동 소자의 동작 원리
AI007,스마트전자회로,6,다이오드와 트랜지스터
AI007,스마트전자회로,7,전기 신호의 처리
AI007,스마트전자회로,8,중간고사
AI007,스마트전자회로,9,디지털 공학 기초
AI007,스마트전자회로,10,논리 게이트와 응용
AI007,스마트전자회로,11,통신 공학 기초
AI007,스마트전자회로,12,통신 시스템 이해
AI007,스마트전자회로,13,전력 및 제어 공학
AI007,스마트전자회로,14,발전기 및 변압기
AI007,스마트전자회로,15,기말고사
AI008,인공지능(AI)입문,1,인공지능 개요
AI008,인공지능(AI)입문,2,인공지능의 진화
AI008,인공지능(AI)입문,3,인공지능과 윤리
AI008,인공지능(AI)입문,4,인공지능의 신뢰성
AI008,인공지능(AI)입문,5,인공지능과 보안
AI008,인공지능(AI)입문,6,인공지능을 실현하기 위한 기술
AI008,인공지능(AI)입문,7,빅데이터
AI008,인공지능(AI)입문,8,중간고사
AI008,인공지능(AI)입문,9,머신러닝
AI008,인공지능(AI)입문,10,인공신경망과 딥러닝
AI008,인공지능(AI)입문,11,인공지능 플랫폼
AI008,인공지능(AI)입문,12,인공지능의 위협
AI008,인공지능(AI)입문,13,인공지능 동향
AI008,인공지능(AI)입문,14,인공지능에 대처하는 자세
AI008,인공지능(AI)입문,15,기말고사
AI009,전산수학,1,전산수학 개요
AI009,전산수학,2,논리와 명제
AI009,전산수학,3,집합론
AI009,전산수학,4,증명법
AI009,전산수학,5,관계 및 함수
AI009,전산수학,6,그래프 이론 (1)
AI009,전산수학,7,그래프 이론 (2)
AI009,전산수학,8,중간고사
AI009,전산수학,9,트리 이론
AI009,전산수학,10,순열 및 이산 확률
AI009,전산수학,11,행렬과 행렬식
AI009,전산수학,12,부울 대수
AI009,전산수학,13,알고리즘 개념
AI009,전산수학,14,알고리즘 응용
AI009,전산수학,15,기말고사
AI010,프로그래밍기초2,1,Hello, 파이썬!, 자료형과 변수
AI010,프로그래밍기초2,2,연산자
AI010,프로그래밍기초2,3,문자열 다루기
AI010,프로그래밍기초2,4,자료구조: 리스트, 딕셔너리, 튜플, 세트
AI010,프로그래밍기초2,5,제어문: 조건문과 반복문
AI010,프로그래밍기초2,6,함수 정의 및 호출
AI010,프로그래밍기초2,7,입출력과 파일 입출력
AI010,프로그래밍기초2,8,수시고사
AI010,프로그래밍기초2,9,클래스와 객체
AI010,프로그래밍기초2,10,클래스 상속 및 부모 클래스 호출
AI010,프로그래밍기초2,11,실습 문제: 부동산 프로그램 만들기
AI010,프로그래밍기초2,12,예외 처리
AI010,프로그래밍기초2,13,모듈과 패키지
AI010,프로그래밍기초2,14,모듈과 패키지 활용
AI010,프로그래밍기초2,15,기말고사
AI011,확률과통계,1,확률통계 개요
AI011,확률과통계,2,기술통계학 (1)
AI011,확률과통계,3,기술통계학 (2)
AI011,확률과통계,4,확률 개념
AI011,확률과통계,5,확률변수
AI011,확률과통계,6,결합확률분포
AI011,확률과통계,7,확률분포 개념
AI011,확률과통계,8,중간고사
AI011,확률과통계,9,정규분포
AI011,확률과통계,10,표본분포
AI011,확률과통계,11,대표본 추정
AI011,확률과통계,12,대표본 가설검정
AI011,확률과통계,13,소표본 추론
AI011,확률과통계,14,확률과정
AI011,확률과통계,15,기말고사
