과목명,강사,url
[2024 최신] [코드팩토리] [초급] Flutter 3.0 앱 개발 - 10개의 프로젝트로 오늘 초보 탈출!,코드팩토리,https://www.inflearn.com/course/%ED%94%8C%EB%9F%AC%ED%84%B0-%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8
맛집 지도앱 만들기 (React Native + NestJS),Kyo,https://www.inflearn.com/course/%EB%A7%9B%EC%A7%91-%EC%A7%80%EB%8F%84%EC%95%B1-%EB%A7%8C%EB%93%A4%EA%B8%B0-reactnative-nestjs
"[코드팩토리] [중급] Flutter 진짜 실전! 상태관리, 캐시관리, Code Generation, GoRouter, 인증로직 등 중수가 되기 위한 필수 스킬들!",코드팩토리,https://www.inflearn.com/course/%ED%94%8C%EB%9F%AC%ED%84%B0-%EC%8B%A4%EC%A0%84
[왕초보편] 앱 8개를 만들면서 배우는 안드로이드 코틀린(Android Kotlin),개복치개발자,https://www.inflearn.com/course/%EC%95%88%EB%93%9C%EB%A1%9C%EC%9D%B4%EB%93%9C-%EC%BD%94%ED%8B%80%EB%A6%B0-%EB%AA%A8%EB%B0%94%EC%9D%BC%EC%95%B1
따라하며 배우는 리액트 네이티브 기초,John Ahn,https://www.inflearn.com/course/%EB%94%B0%EB%9D%BC%ED%95%98%EB%A9%B0-%EB%B0%B0%EC%9A%B0%EB%8A%94-%EB%A6%AC%EC%95%A1%ED%8A%B8-%EB%84%A4%EC%9D%B4%ED%8B%B0%EB%B8%8C
코틀린 코루틴 완전 정복,조세영,https://www.inflearn.com/course/%EC%BD%94%ED%8B%80%EB%A6%B0-%EC%BD%94%EB%A3%A8%ED%8B%B4-%EC%99%84%EC%A0%84-%EC%A0%95%EB%B3%B5
Flutter 앱 개발 실전,DevStory,https://www.inflearn.com/course/%ED%94%8C%EB%9F%AC%ED%84%B0-%EC%95%B1-%EA%B0%9C%EB%B0%9C-%EC%8B%A4%EC%A0%84
새싹부터 시작하는 Unity 게임 개발,Pinous,https://www.inflearn.com/course/%EC%83%88%EC%8B%B9%EB%B6%80%ED%84%B0-%EC%8B%9C%EC%9E%91%ED%95%98%EB%8A%94-unity
[Unity] 함께 만들어가는 방치형 게임 개발,Pinous,https://www.inflearn.com/course/%ED%95%A8%EA%BB%98-%EB%A7%8C%EB%93%9C%EB%8A%94-%EB%B0%A9%EC%B9%98%ED%98%95-%EA%B2%8C%EC%9E%84
앨런 Swift문법 마스터 스쿨 (온라인 BootCamp -  2개월과정),앨런(Allen),https://www.inflearn.com/course/%EC%8A%A4%EC%9C%84%ED%94%84%ED%8A%B8-%EB%AC%B8%EB%B2%95-%EB%A7%88%EC%8A%A4%ED%84%B0-%EC%8A%A4%EC%BF%A8
"Part1: 진짜 왕초보 iOS 배우기(SwiftUI, SwiftData, 2024)",애구마(agmma),https://www.inflearn.com/course/%EC%A7%84%EC%A7%9C-%EC%99%95%EC%B4%88%EB%B3%B4-ios-swiftui
배달앱 클론코딩 [with React Native],제로초(조현영),https://www.inflearn.com/course/%EB%B0%B0%EB%8B%AC%EC%95%B1-%EB%A6%AC%EC%95%A1%ED%8A%B8-%EB%84%A4%EC%9D%B4%ED%8B%B0%EB%B8%8C
Flutter 앱 개발 기초,DevStory,https://www.inflearn.com/course/%ED%94%8C%EB%9F%AC%ED%84%B0-%EC%95%B1%EA%B0%9C%EB%B0%9C-%EC%99%84%EC%84%B1
Flutter Contributor와 함께하는 Flutter 입문,강병진,https://www.inflearn.com/course/contributor%EC%99%80-%ED%95%A8%EA%BB%98%ED%95%98%EB%8A%94-flutter-%EC%9E%85%EB%AC%B8
Flutter 응용 - 공공 API를 활용한 앱 만들기 (MVVM 패턴),오준석,https://www.inflearn.com/course/flutter-%EA%B3%B5%EA%B3%B5-api-%EC%95%B1-%EC%9D%91%EC%9A%A9
[중급편] 친절한 JETPACK 개론 <하> (Android Kotlin),개복치개발자,https://www.inflearn.com/course/%EC%B9%9C%EC%A0%88%ED%95%9C-jetpack-2
앨런 Swift Concurrency for Swift 6 (Part-1),앨런(Allen),https://www.inflearn.com/course/%EC%95%A8%EB%9F%B0-swfit-concurrency-part1
[Python 초보] Flutter로 만드는 ChatGPT 음성번역앱,다비,https://www.inflearn.com/course/%ED%94%8C%EB%9F%AC%ED%84%B0%EB%A1%9C-%EB%A7%8C%EB%93%9C%EB%8A%94-%EC%B1%97%EC%A7%80%ED%94%BC%ED%8B%B0-%EC%9D%8C%EC%84%B1%EB%B2%88%EC%97%AD%EC%95%B1
[초급편] 안드로이드 커뮤니티 앱 만들기(Android Kotlin),개복치개발자,https://www.inflearn.com/course/%EC%95%88%EB%93%9C%EB%A1%9C%EC%9D%B4%EB%93%9C-%EC%BD%94%ED%8B%80%EB%A6%B0-%EC%BB%A4%EB%AE%A4%EB%8B%88%ED%8B%B0%EC%95%B1
모던 안드로이드 - 코틀린과 Jetpack 활용,오준석,https://www.inflearn.com/course/%EB%AA%A8%EB%8D%98-%EC%95%88%EB%93%9C%EB%A1%9C%EC%9D%B4%EB%93%9C-%EC%BD%94%ED%8B%80%EB%A6%B0-%EC%A0%9C%ED%8A%B8%ED%8C%A9
"[Bloc 응용] 실전 앱 만들기 (책 리뷰 앱) : SNS 로그인, Firebase 적용, Bloc 상태 관리, GoRouter",개발하는남자,https://www.inflearn.com/course/bloc-%EC%B1%85%EB%A6%AC%EB%B7%B0%EC%95%B1-%EB%A7%8C%EB%93%A4%EA%B8%B0-%EC%A4%91%EA%B8%89
[중급편] 코인 가격 모니터링 앱 제작 (Android Kotlin),개복치개발자,https://www.inflearn.com/course/%EC%95%88%EB%93%9C%EB%A1%9C%EC%9D%B4%EB%93%9C-%EC%BD%94%ED%8B%80%EB%A6%B0-%EB%AA%A8%EB%8B%88%ED%84%B0%EB%A7%81%EC%95%B1
