과목명,강의 내용,원래 가격,직무,일치율
[개정판] 파이썬 머신러닝 완벽 가이드,이론 위주의 머신러닝 강좌에서 탈피하여 머신러닝의 핵심 개념을 쉽게 이해함과 동시에 실전 머신러닝 애플리케이션 구현 능력을 갖출 수 있도록 만들어 드립니다.,무료,앱 개발자,64.281%
[개정판] 파이썬 머신러닝 완벽 가이드,이론 위주의 머신러닝 강좌에서 탈피하여 머신러닝의 핵심 개념을 쉽게 이해함과 동시에 실전 머신러닝 애플리케이션 구현 능력을 갖출 수 있도록 만들어 드립니다.,무료,웹 개발자,58.931%
[개정판] 파이썬 머신러닝 완벽 가이드,이론 위주의 머신러닝 강좌에서 탈피하여 머신러닝의 핵심 개념을 쉽게 이해함과 동시에 실전 머신러닝 애플리케이션 구현 능력을 갖출 수 있도록 만들어 드립니다.,무료,IoT,57.020%
시계열 분석과 예측,데이터 분석 전문가로 거듭나기 위한 시계열 강의! 이론과 실기에 강한 분석가가 되어 봅시다!,"₩44,000",데이터 분석,99.804%
시계열 분석과 예측,데이터 분석 전문가로 거듭나기 위한 시계열 강의! 이론과 실기에 강한 분석가가 되어 봅시다!,"₩44,000",데이터 엔지니어,82.400%
시계열 분석과 예측,데이터 분석 전문가로 거듭나기 위한 시계열 강의! 이론과 실기에 강한 분석가가 되어 봅시다!,"₩44,000",IoT,66.402%
딥러닝을 위한 기초 수학,"딥러닝을 본격적으로 활용하기 위한 머신러닝 개념, 인공지능의 학습 원리, 모델 구현을 위한 수학적 원리 알기!",무료,인공지능,99.351%
딥러닝을 위한 기초 수학,"딥러닝을 본격적으로 활용하기 위한 머신러닝 개념, 인공지능의 학습 원리, 모델 구현을 위한 수학적 원리 알기!",무료,모바일 앱 개발,81.317%
딥러닝을 위한 기초 수학,"딥러닝을 본격적으로 활용하기 위한 머신러닝 개념, 인공지능의 학습 원리, 모델 구현을 위한 수학적 원리 알기!",무료,게임개발자,56.545%
딥러닝과 데이터분석을 위한 기초수학 (w.파이썬),"데이터 과학의 핵심은 방대한 데이터를 체계적으로 분석하는 능력을 지닌 인간을 잘 모방하는 것!
해당 과정을 통해 데이터 과학의 기본이 되는 과학적 모델링을 이해하기 위한 기초적인 수학 지식을 리마인드 할 수 있습니다.",무료,데이터 분석,99.825%
딥러닝과 데이터분석을 위한 기초수학 (w.파이썬),"데이터 과학의 핵심은 방대한 데이터를 체계적으로 분석하는 능력을 지닌 인간을 잘 모방하는 것!
해당 과정을 통해 데이터 과학의 기본이 되는 과학적 모델링을 이해하기 위한 기초적인 수학 지식을 리마인드 할 수 있습니다.",무료,인공지능,86.416%
딥러닝과 데이터분석을 위한 기초수학 (w.파이썬),"데이터 과학의 핵심은 방대한 데이터를 체계적으로 분석하는 능력을 지닌 인간을 잘 모방하는 것!
해당 과정을 통해 데이터 과학의 기본이 되는 과학적 모델링을 이해하기 위한 기초적인 수학 지식을 리마인드 할 수 있습니다.",무료,데이터 엔지니어,77.077%
"파이썬으로 시작하는 머신러닝+딥러닝(sklearn을 이용한 머신러닝부터 TensorFlow, Keras를 이용한 딥러닝 개발까지)","머신러닝&딥러닝의 기초부터 확실하게!
파이썬으로 분류/회귀/군집/인공신경망 생성과 활용까지",무료,인공지능,90.111%
"파이썬으로 시작하는 머신러닝+딥러닝(sklearn을 이용한 머신러닝부터 TensorFlow, Keras를 이용한 딥러닝 개발까지)","머신러닝&딥러닝의 기초부터 확실하게!
파이썬으로 분류/회귀/군집/인공신경망 생성과 활용까지",무료,데이터 분석,62.512%
"파이썬으로 시작하는 머신러닝+딥러닝(sklearn을 이용한 머신러닝부터 TensorFlow, Keras를 이용한 딥러닝 개발까지)","머신러닝&딥러닝의 기초부터 확실하게!
파이썬으로 분류/회귀/군집/인공신경망 생성과 활용까지",무료,앱 개발자,56.808%
스파크 머신러닝 완벽 가이드 - Part 1,"스파크(Spark) 머신러닝의 핵심 Framework에 대한 이해,  난이도 높은 실전 문제를 통한 SQL 기반의 데이터 가공,  업무 도메인 분석을 통한 데이터 분석과 최적화된 머신러닝 모델 구현 능력까지, 대용량 데이터 기반에서 머신러닝 전문가로 인정 받고 싶다면 이 강의와 함께 하십시요.",무료,데이터 분석,99.382%
스파크 머신러닝 완벽 가이드 - Part 1,"스파크(Spark) 머신러닝의 핵심 Framework에 대한 이해,  난이도 높은 실전 문제를 통한 SQL 기반의 데이터 가공,  업무 도메인 분석을 통한 데이터 분석과 최적화된 머신러닝 모델 구현 능력까지, 대용량 데이터 기반에서 머신러닝 전문가로 인정 받고 싶다면 이 강의와 함께 하십시요.",무료,인공지능,52.779%
스파크 머신러닝 완벽 가이드 - Part 1,"스파크(Spark) 머신러닝의 핵심 Framework에 대한 이해,  난이도 높은 실전 문제를 통한 SQL 기반의 데이터 가공,  업무 도메인 분석을 통한 데이터 분석과 최적화된 머신러닝 모델 구현 능력까지, 대용량 데이터 기반에서 머신러닝 전문가로 인정 받고 싶다면 이 강의와 함께 하십시요.",무료,데이터 엔지니어,46.957%
[PY 0201] 인공지능을 위한 파이썬 레벨1,"파이썬의 기본 문법에 대해 많은 연습을 하는 강의입니다.
파이썬의 문법과 함께 머신러닝, 딥러닝에 사용되는 실전연습을 하는 강의입니다.",무료,인공지능,99.670%
[PY 0201] 인공지능을 위한 파이썬 레벨1,"파이썬의 기본 문법에 대해 많은 연습을 하는 강의입니다.
파이썬의 문법과 함께 머신러닝, 딥러닝에 사용되는 실전연습을 하는 강의입니다.",무료,데브옵스 엔지니어,47.612%
[PY 0201] 인공지능을 위한 파이썬 레벨1,"파이썬의 기본 문법에 대해 많은 연습을 하는 강의입니다.
파이썬의 문법과 함께 머신러닝, 딥러닝에 사용되는 실전연습을 하는 강의입니다.",무료,게임개발자,44.781%
실전도커: 도커로 나만의 딥러닝 클라우드 컴퓨터 만들기,"도커를 사용해서 클라우드에 딥러닝 분석환경을 만들 수 있습니다. 

구글, MS 등이 관리하는 도커 이미지와 클라우드가 결합할 때 여러분의 컴퓨터에서 가장 최신의 딥러닝 분석 방법으로 작업을 수행하는 것이 가능해집니다.",무료,클라우드 보안,46.385%
실전도커: 도커로 나만의 딥러닝 클라우드 컴퓨터 만들기,"도커를 사용해서 클라우드에 딥러닝 분석환경을 만들 수 있습니다. 

구글, MS 등이 관리하는 도커 이미지와 클라우드가 결합할 때 여러분의 컴퓨터에서 가장 최신의 딥러닝 분석 방법으로 작업을 수행하는 것이 가능해집니다.",무료,IoT,38.469%
