과목명,강의 내용,원래 가격,직무,일치율
[Unity6] 유니티6로 배우는 실전 멀티플레이 디펜스,유니티6를 활용해 디펜스 장르의 멀티플레이 게임을 개발하는 과정을 다룹니다. 게임 로직부터 출시까지 단계별로 배우는 실전 강의입니다.,"₩297,000",게임개발자,95.545%
[Unity6] 유니티6로 배우는 실전 멀티플레이 디펜스,유니티6를 활용해 디펜스 장르의 멀티플레이 게임을 개발하는 과정을 다룹니다. 게임 로직부터 출시까지 단계별로 배우는 실전 강의입니다.,"₩297,000",웹 개발자,37.218%
[Unity6] 유니티6로 배우는 실전 멀티플레이 디펜스,유니티6를 활용해 디펜스 장르의 멀티플레이 게임을 개발하는 과정을 다룹니다. 게임 로직부터 출시까지 단계별로 배우는 실전 강의입니다.,"₩297,000",앱 개발자,30.828%
따라하면 취업되는 게임기획 강의!,"따라하면 취업되는 게임 기획 강의입니다. 강의를 따라하면 게임기획에 대한 개념과 역기획서 작성법, 게임기획 포트폴리오 작성법, 자기소개서와 면접 준비 방법을 배울 수 있습니다.",무료,게임 기획자,98.999%
따라하면 취업되는 게임기획 강의!,"따라하면 취업되는 게임 기획 강의입니다. 강의를 따라하면 게임기획에 대한 개념과 역기획서 작성법, 게임기획 포트폴리오 작성법, 자기소개서와 면접 준비 방법을 배울 수 있습니다.",무료,게임개발자,95.975%
따라하면 취업되는 게임기획 강의!,"따라하면 취업되는 게임 기획 강의입니다. 강의를 따라하면 게임기획에 대한 개념과 역기획서 작성법, 게임기획 포트폴리오 작성법, 자기소개서와 면접 준비 방법을 배울 수 있습니다.",무료,데브옵스 엔지니어,80.285%
"PM,게임기획서 시스템기획 데이터테이블 PO 13주제 122개","게임기획자를 위한 밀키트 기획문서입니다. 
시스템기획서 , 데이터테이블, 사업PM강좌, 밸런스기획 등 모든 것
17년 경력의 게임기획자가 제공합니다.","₩108,900",게임 기획자,99.341%
"PM,게임기획서 시스템기획 데이터테이블 PO 13주제 122개","게임기획자를 위한 밀키트 기획문서입니다. 
시스템기획서 , 데이터테이블, 사업PM강좌, 밸런스기획 등 모든 것
17년 경력의 게임기획자가 제공합니다.","₩108,900",게임개발자,98.751%
"PM,게임기획서 시스템기획 데이터테이블 PO 13주제 122개","게임기획자를 위한 밀키트 기획문서입니다. 
시스템기획서 , 데이터테이블, 사업PM강좌, 밸런스기획 등 모든 것
17년 경력의 게임기획자가 제공합니다.","₩108,900",데이터 엔지니어,68.100%
[Unity] 함께 만들어가는 방치형 게임 개발,해당 강의는 방치형 게임을 만들어가면서 수익 창출을 목적으로 한 모바일 게임 개발을 진행하는데 중점을 두고 있습니다.,무료,게임개발자,97.508%
[Unity] 함께 만들어가는 방치형 게임 개발,해당 강의는 방치형 게임을 만들어가면서 수익 창출을 목적으로 한 모바일 게임 개발을 진행하는데 중점을 두고 있습니다.,무료,모바일 앱 개발,77.546%
[Unity] 함께 만들어가는 방치형 게임 개발,해당 강의는 방치형 게임을 만들어가면서 수익 창출을 목적으로 한 모바일 게임 개발을 진행하는데 중점을 두고 있습니다.,무료,웹 개발자,64.986%
알아두면 쓸모 있는 로블록스 기능,"Useful Roblox features you need to know
로블록스 크리에이터 준비하는 분들이 알면 쓸모 있는 기능별 구분해서 정리한 강의!
업데이트 되는 기능에 맞춰 강의는 계속 업데이트 됩니다.","₩165,000",데이터 분석,30.691%
알아두면 쓸모 있는 로블록스 기능,"Useful Roblox features you need to know
로블록스 크리에이터 준비하는 분들이 알면 쓸모 있는 기능별 구분해서 정리한 강의!
업데이트 되는 기능에 맞춰 강의는 계속 업데이트 됩니다.","₩165,000",IoT,30.516%
알아두면 쓸모 있는 로블록스 기능,"Useful Roblox features you need to know
로블록스 크리에이터 준비하는 분들이 알면 쓸모 있는 기능별 구분해서 정리한 강의!
업데이트 되는 기능에 맞춰 강의는 계속 업데이트 됩니다.","₩165,000",블록체인,27.140%
