과목명,강의 내용,원래 가격,직무,일치율
[2024 최신] [코드팩토리] [초급] Flutter 3.0 앱 개발 - 10개의 프로젝트로 오늘 초보 탈출!,iOS 앱과 Android 앱을 코드 한번만 작성해서 모두 제작한다! 코드팩토리의 Flutter 초보 탈출 강의! 디테일한 이론과 흥미로운 프로젝트를 진행하며 탄탄한 기본기 쌓기!,무료,앱 개발자,99.369%
[2024 최신] [코드팩토리] [초급] Flutter 3.0 앱 개발 - 10개의 프로젝트로 오늘 초보 탈출!,iOS 앱과 Android 앱을 코드 한번만 작성해서 모두 제작한다! 코드팩토리의 Flutter 초보 탈출 강의! 디테일한 이론과 흥미로운 프로젝트를 진행하며 탄탄한 기본기 쌓기!,무료,모바일 앱 개발,94.319%
[2024 최신] [코드팩토리] [초급] Flutter 3.0 앱 개발 - 10개의 프로젝트로 오늘 초보 탈출!,iOS 앱과 Android 앱을 코드 한번만 작성해서 모두 제작한다! 코드팩토리의 Flutter 초보 탈출 강의! 디테일한 이론과 흥미로운 프로젝트를 진행하며 탄탄한 기본기 쌓기!,무료,웹 개발자,50.956%
Flutter 앱 개발 기초,Android와 iOS 앱을 하나의 코드로 만들 수 있는 Flutter를 여러가지 앱을 만들며 배우는 수업입니다. 기초 문법과 이론부터 실습까지 비전공자 왕초보 분들도 따라오실 수 있도록 준비했습니다.,무료,앱 개발자,99.564%
Flutter 앱 개발 기초,Android와 iOS 앱을 하나의 코드로 만들 수 있는 Flutter를 여러가지 앱을 만들며 배우는 수업입니다. 기초 문법과 이론부터 실습까지 비전공자 왕초보 분들도 따라오실 수 있도록 준비했습니다.,무료,모바일 앱 개발,72.451%
Flutter 앱 개발 기초,Android와 iOS 앱을 하나의 코드로 만들 수 있는 Flutter를 여러가지 앱을 만들며 배우는 수업입니다. 기초 문법과 이론부터 실습까지 비전공자 왕초보 분들도 따라오실 수 있도록 준비했습니다.,무료,웹 개발자,56.750%
Flutter로 메신저앱 만들기,Flutter의 Riverpod 상태 관리와 Firebase를 활용해서 메신저 앱을 제작합니다.,무료,앱 개발자,32.522%
Flutter로 메신저앱 만들기,Flutter의 Riverpod 상태 관리와 Firebase를 활용해서 메신저 앱을 제작합니다.,무료,모바일 앱 개발,20.515%
Flutter로 메신저앱 만들기,Flutter의 Riverpod 상태 관리와 Firebase를 활용해서 메신저 앱을 제작합니다.,무료,게임개발자,19.445%
[Unity] 함께 만들어가는 방치형 게임 개발,해당 강의는 방치형 게임을 만들어가면서 수익 창출을 목적으로 한 모바일 게임 개발을 진행하는데 중점을 두고 있습니다.,무료,게임개발자,97.508%
[Unity] 함께 만들어가는 방치형 게임 개발,해당 강의는 방치형 게임을 만들어가면서 수익 창출을 목적으로 한 모바일 게임 개발을 진행하는데 중점을 두고 있습니다.,무료,모바일 앱 개발,77.546%
[Unity] 함께 만들어가는 방치형 게임 개발,해당 강의는 방치형 게임을 만들어가면서 수익 창출을 목적으로 한 모바일 게임 개발을 진행하는데 중점을 두고 있습니다.,무료,웹 개발자,64.986%
새싹부터 시작하는 Unity 게임 개발,"해당 강의를 통해서 수강생분들은 컴퓨터 이론의 기초와,유니티 게임 개발의 필수 과정들을 배울 수 있습니다.",무료,게임개발자,98.646%
새싹부터 시작하는 Unity 게임 개발,"해당 강의를 통해서 수강생분들은 컴퓨터 이론의 기초와,유니티 게임 개발의 필수 과정들을 배울 수 있습니다.",무료,웹 개발자,68.992%
새싹부터 시작하는 Unity 게임 개발,"해당 강의를 통해서 수강생분들은 컴퓨터 이론의 기초와,유니티 게임 개발의 필수 과정들을 배울 수 있습니다.",무료,앱 개발자,67.640%
[Python 초보] Flutter로 만드는 ChatGPT 음성번역앱,"Python 배우긴 했는데, 어떻게 활용할지 막막한 분을 위한 강의입니다. 프로그램 기초지식을 99.9% 활용!!! 어려운 코드를 최소화하여 기본 예제코드를 가지고 만드는 Flutter 음성번역앱에 도전해보세요. chatGPT와 대화하고, 외국인 친구와 하는 대화를 번역해주고, 음성으로 이미지를 그리고, 파인튜닝으로 대화앱을 업그레이드합니다.",무료,게임 기획자,87.352%
[Python 초보] Flutter로 만드는 ChatGPT 음성번역앱,"Python 배우긴 했는데, 어떻게 활용할지 막막한 분을 위한 강의입니다. 프로그램 기초지식을 99.9% 활용!!! 어려운 코드를 최소화하여 기본 예제코드를 가지고 만드는 Flutter 음성번역앱에 도전해보세요. chatGPT와 대화하고, 외국인 친구와 하는 대화를 번역해주고, 음성으로 이미지를 그리고, 파인튜닝으로 대화앱을 업그레이드합니다.",무료,데이터 분석,85.085%
[Python 초보] Flutter로 만드는 ChatGPT 음성번역앱,"Python 배우긴 했는데, 어떻게 활용할지 막막한 분을 위한 강의입니다. 프로그램 기초지식을 99.9% 활용!!! 어려운 코드를 최소화하여 기본 예제코드를 가지고 만드는 Flutter 음성번역앱에 도전해보세요. chatGPT와 대화하고, 외국인 친구와 하는 대화를 번역해주고, 음성으로 이미지를 그리고, 파인튜닝으로 대화앱을 업그레이드합니다.",무료,데이터 엔지니어,80.401%
쉬운 모바일 테스트 자동화 시작하기 : Appium Studio,Android 및 iOS 장치에서 테스트 자동화 개발이 궁금하신 모든 분을 위한 강의입니다. 이 강의를 통해 모바일 장치에서 자동화 테스트를 수행할 수 있게 됩니다.,무료,자동화 시스템,98.539%
쉬운 모바일 테스트 자동화 시작하기 : Appium Studio,Android 및 iOS 장치에서 테스트 자동화 개발이 궁금하신 모든 분을 위한 강의입니다. 이 강의를 통해 모바일 장치에서 자동화 테스트를 수행할 수 있게 됩니다.,무료,모바일 앱 개발,71.116%
쉬운 모바일 테스트 자동화 시작하기 : Appium Studio,Android 및 iOS 장치에서 테스트 자동화 개발이 궁금하신 모든 분을 위한 강의입니다. 이 강의를 통해 모바일 장치에서 자동화 테스트를 수행할 수 있게 됩니다.,무료,게임개발자,59.078%
MAUI [Cross-Platform Applications & C#],"Windows, macOS, iOS, Android 애플리케이션을 하나의 코드로 개발 및 동작시키는 MAUI 크로스플랫폼 개발에 대해 알아봅니다.",무료,웹 개발자,62.459%
MAUI [Cross-Platform Applications & C#],"Windows, macOS, iOS, Android 애플리케이션을 하나의 코드로 개발 및 동작시키는 MAUI 크로스플랫폼 개발에 대해 알아봅니다.",무료,게임개발자,53.963%
MAUI [Cross-Platform Applications & C#],"Windows, macOS, iOS, Android 애플리케이션을 하나의 코드로 개발 및 동작시키는 MAUI 크로스플랫폼 개발에 대해 알아봅니다.",무료,앱 개발자,51.699%
[입문] Qt QML과 C++로 시작하는 크로스플랫폼 앱 개발,Qt QML과 C++를 사용하여 크로스플랫폼 애플리케이션 개발에 입문할 수 있습니다. 해당 강의에서는 윈도우 응용 프로그램 타겟으로 개발을 진행합니다.,무료,앱 개발자,98.806%
[입문] Qt QML과 C++로 시작하는 크로스플랫폼 앱 개발,Qt QML과 C++를 사용하여 크로스플랫폼 애플리케이션 개발에 입문할 수 있습니다. 해당 강의에서는 윈도우 응용 프로그램 타겟으로 개발을 진행합니다.,무료,모바일 앱 개발,57.615%
[입문] Qt QML과 C++로 시작하는 크로스플랫폼 앱 개발,Qt QML과 C++를 사용하여 크로스플랫폼 애플리케이션 개발에 입문할 수 있습니다. 해당 강의에서는 윈도우 응용 프로그램 타겟으로 개발을 진행합니다.,무료,웹 개발자,40.759%
예제로 뿌수는 코틀린 Kotlin 76제,"76개의 예제로 실습하며 공부하는 코틀린 Kotlin 프로그래밍 언어. 당장 내일부터 코틀린으로 개발해야 하는데, 차근히 문법을 공부할 여유가 없나요? 이 강의에서 알려드리는 예제로 빠르게 코틀린의 모든 문법을 알아봅시다.",무료,모바일 앱 개발,56.506%
예제로 뿌수는 코틀린 Kotlin 76제,"76개의 예제로 실습하며 공부하는 코틀린 Kotlin 프로그래밍 언어. 당장 내일부터 코틀린으로 개발해야 하는데, 차근히 문법을 공부할 여유가 없나요? 이 강의에서 알려드리는 예제로 빠르게 코틀린의 모든 문법을 알아봅시다.",무료,인공지능,48.529%
예제로 뿌수는 코틀린 Kotlin 76제,"76개의 예제로 실습하며 공부하는 코틀린 Kotlin 프로그래밍 언어. 당장 내일부터 코틀린으로 개발해야 하는데, 차근히 문법을 공부할 여유가 없나요? 이 강의에서 알려드리는 예제로 빠르게 코틀린의 모든 문법을 알아봅시다.",무료,웹 개발자,39.530%
Glide를 활용한 노코드 프로토타이핑의 기초,"노코드 (No-code)로 예약 서비스, 매칭 서비스, 커뮤니티 서비스의 프로토타입을 만들 수 있게 됩니다.",무료,스마트 기술,65.212%
Glide를 활용한 노코드 프로토타이핑의 기초,"노코드 (No-code)로 예약 서비스, 매칭 서비스, 커뮤니티 서비스의 프로토타입을 만들 수 있게 됩니다.",무료,게임 기획자,47.118%
Glide를 활용한 노코드 프로토타이핑의 기초,"노코드 (No-code)로 예약 서비스, 매칭 서비스, 커뮤니티 서비스의 프로토타입을 만들 수 있게 됩니다.",무료,게임개발자,46.583%
[입문] Qt 6 프로그래밍 1편,Qt를 이용하면 다양한 운영체제에서 호환되는 SW를 개발 할 수 있습니다. 즉 한번 Qt로 개발한 소스코드로 다양한 플랫폼에서 동작하는 SW를 개발할 수 있습니다.,무료,웹 개발자,25.694%
[입문] Qt 6 프로그래밍 1편,Qt를 이용하면 다양한 운영체제에서 호환되는 SW를 개발 할 수 있습니다. 즉 한번 Qt로 개발한 소스코드로 다양한 플랫폼에서 동작하는 SW를 개발할 수 있습니다.,무료,게임개발자,19.934%
[입문] Qt 6 프로그래밍 1편,Qt를 이용하면 다양한 운영체제에서 호환되는 SW를 개발 할 수 있습니다. 즉 한번 Qt로 개발한 소스코드로 다양한 플랫폼에서 동작하는 SW를 개발할 수 있습니다.,무료,VR/AR 개발자,16.399%
삼각형의 실전! CMake 초급,CMake가 사용하기 어려우신가요? 이 강의를 듣고 나면 당신도 CMake 전문가입니다.,무료,사이버 침해 대응,56.643%
삼각형의 실전! CMake 초급,CMake가 사용하기 어려우신가요? 이 강의를 듣고 나면 당신도 CMake 전문가입니다.,무료,인공지능,51.724%
