과목명,강의 내용,원래 가격,직무,일치율
두고두고 써먹는 유니티 VR,"Unity를 이용하여 VR 장비를 연동하고, VR 컨텐츠를 개발하는 방법을 배우는 VR 개발 입문 강의입니다. VR의 시장성이나 전망은 이미 많은 컨텐츠에서 접할 수 있기 때문에 굳이 다루지 않고, 실제 개발에 필요한 핵심만 추렸습니다. 쉽고 빠르게 배워서 두고두고 써먹을 수 있는 VR 개발 방법을 알고 싶다면 여기로 오세요!",무료,VR/AR 개발자,77.682%
두고두고 써먹는 유니티 VR,"Unity를 이용하여 VR 장비를 연동하고, VR 컨텐츠를 개발하는 방법을 배우는 VR 개발 입문 강의입니다. VR의 시장성이나 전망은 이미 많은 컨텐츠에서 접할 수 있기 때문에 굳이 다루지 않고, 실제 개발에 필요한 핵심만 추렸습니다. 쉽고 빠르게 배워서 두고두고 써먹을 수 있는 VR 개발 방법을 알고 싶다면 여기로 오세요!",무료,앱 개발자,75.413%
두고두고 써먹는 유니티 VR,"Unity를 이용하여 VR 장비를 연동하고, VR 컨텐츠를 개발하는 방법을 배우는 VR 개발 입문 강의입니다. VR의 시장성이나 전망은 이미 많은 컨텐츠에서 접할 수 있기 때문에 굳이 다루지 않고, 실제 개발에 필요한 핵심만 추렸습니다. 쉽고 빠르게 배워서 두고두고 써먹을 수 있는 VR 개발 방법을 알고 싶다면 여기로 오세요!",무료,게임개발자,75.116%
[입문자를 위한 UE5] Part5. 언리얼 엔진 VR,"언리얼 엔진 기반의 여러 가지 VR 기술을 학습하는 강의입니다. 
어디에도 공개되지 않은 언리얼 기반의 VR 기술들을 터득할 수 있습니다.",무료,인공지능,90.200%
[입문자를 위한 UE5] Part5. 언리얼 엔진 VR,"언리얼 엔진 기반의 여러 가지 VR 기술을 학습하는 강의입니다. 
어디에도 공개되지 않은 언리얼 기반의 VR 기술들을 터득할 수 있습니다.",무료,보안 엔지니어,61.393%
[입문자를 위한 UE5] Part5. 언리얼 엔진 VR,"언리얼 엔진 기반의 여러 가지 VR 기술을 학습하는 강의입니다. 
어디에도 공개되지 않은 언리얼 기반의 VR 기술들을 터득할 수 있습니다.",무료,스마트 기술,56.236%
유니티 AR로 만드는 FPS 게임,"이 강의는 유니티를 이용하여 AR로 진행되는 FPS  게임입니다.
AR 설정부터 빌드후 실행까지 AR 프로젝트에 대해서 배워볼수있습니다.",무료,게임개발자,89.425%
유니티 AR로 만드는 FPS 게임,"이 강의는 유니티를 이용하여 AR로 진행되는 FPS  게임입니다.
AR 설정부터 빌드후 실행까지 AR 프로젝트에 대해서 배워볼수있습니다.",무료,게임 기획자,26.136%
유니티 AR로 만드는 FPS 게임,"이 강의는 유니티를 이용하여 AR로 진행되는 FPS  게임입니다.
AR 설정부터 빌드후 실행까지 AR 프로젝트에 대해서 배워볼수있습니다.",무료,웹 개발자,25.380%
iOS SwiftUI AR 증강현실,"새로운 swiftUI 환경에서 증강현실 AR앱을 제작합니다.
ARKit, RealityKit, Core ML 등을 활용하여 나만의 스노우 앱을 만들어 봅니다.",무료,앱 개발자,63.960%
iOS SwiftUI AR 증강현실,"새로운 swiftUI 환경에서 증강현실 AR앱을 제작합니다.
ARKit, RealityKit, Core ML 등을 활용하여 나만의 스노우 앱을 만들어 봅니다.",무료,인공지능,46.521%
iOS SwiftUI AR 증강현실,"새로운 swiftUI 환경에서 증강현실 AR앱을 제작합니다.
ARKit, RealityKit, Core ML 등을 활용하여 나만의 스노우 앱을 만들어 봅니다.",무료,모바일 앱 개발,43.435%
비전공자도 쉽게 시작하는 증강현실(AR)로 나만의 고양이 만들기,간단한 코딩으로 구현하는 AR 증강현실 앱 구현하기,무료,VR/AR 개발자,78.022%
비전공자도 쉽게 시작하는 증강현실(AR)로 나만의 고양이 만들기,간단한 코딩으로 구현하는 AR 증강현실 앱 구현하기,무료,앱 개발자,65.082%
비전공자도 쉽게 시작하는 증강현실(AR)로 나만의 고양이 만들기,간단한 코딩으로 구현하는 AR 증강현실 앱 구현하기,무료,게임개발자,46.038%
코스페이시스 창의융합프로젝트 (Cospaces),"코딩, 개발에 흥미있는 디지털 인재라면? 코스페이시스를 통해 블록코딩에 입문해보자!",무료,웹 개발자,88.011%
코스페이시스 창의융합프로젝트 (Cospaces),"코딩, 개발에 흥미있는 디지털 인재라면? 코스페이시스를 통해 블록코딩에 입문해보자!",무료,앱 개발자,85.283%
코스페이시스 창의융합프로젝트 (Cospaces),"코딩, 개발에 흥미있는 디지털 인재라면? 코스페이시스를 통해 블록코딩에 입문해보자!",무료,게임개발자,75.631%
"VR, AR 기초 이론과 시장 분석",VR / AR / MR 진로 선택을 위한 기초이론을 알려줍니다.,무료,VR/AR 개발자,89.216%
"VR, AR 기초 이론과 시장 분석",VR / AR / MR 진로 선택을 위한 기초이론을 알려줍니다.,무료,데이터 분석,54.515%
"VR, AR 기초 이론과 시장 분석",VR / AR / MR 진로 선택을 위한 기초이론을 알려줍니다.,무료,게임개발자,47.072%
메타버스 그리고 Microsoft Mesh 알아보기,프리뷰 버젼으로 공개된 Mesh를 배워보면서 다가올 MS와 함께하는 미래를 예측해봅니다.,무료,웹 개발자,26.305%
메타버스 그리고 Microsoft Mesh 알아보기,프리뷰 버젼으로 공개된 Mesh를 배워보면서 다가올 MS와 함께하는 미래를 예측해봅니다.,무료,인공지능,17.469%
메타버스 그리고 Microsoft Mesh 알아보기,프리뷰 버젼으로 공개된 Mesh를 배워보면서 다가올 MS와 함께하는 미래를 예측해봅니다.,무료,앱 개발자,14.899%
MAXST AR SDK와 유니티를 사용한 증강현실 앱 개발,증강현실을 적용한 어플리케이션을 만들어보세요,무료,앱 개발자,97.943%
MAXST AR SDK와 유니티를 사용한 증강현실 앱 개발,증강현실을 적용한 어플리케이션을 만들어보세요,무료,모바일 앱 개발,74.565%
MAXST AR SDK와 유니티를 사용한 증강현실 앱 개발,증강현실을 적용한 어플리케이션을 만들어보세요,무료,웹 개발자,64.824%
