과목명,강사,url
[개정판] 파이썬 머신러닝 완벽 가이드,권 철민,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D-%EC%99%84%EB%B2%BD%EA%B0%80%EC%9D%B4%EB%93%9C
처음하는 딥러닝과 파이토치(Pytorch) 부트캠프 (쉽게! 기본부터 챗GPT 핵심 트랜스포머까지) [데이터분석/과학 Part4],잔재미코딩 DaveLee,https://www.inflearn.com/course/%EB%94%A5%EB%9F%AC%EB%8B%9D-%ED%8C%8C%EC%9D%B4%ED%86%A0%EC%B9%98-%EB%B6%80%ED%8A%B8%EC%BA%A0%ED%94%84-%EA%B8%B0%EB%B3%B8%EA%B8%B0
현업 실무자에게 배우는 Kaggle 머신러닝 입문 - ML 엔지니어 실무 꿀팁,AISchool,https://www.inflearn.com/course/%EC%BA%90%EA%B8%80-%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D-%EC%9E%85%EB%AC%B8
CUDA 프로그래밍 (1) - C/C++/GPU 병렬 컴퓨팅 - CUDA 커널 kernel,드립커피+한모금더,https://www.inflearn.com/course/cuda-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D-1
처음하는 파이썬 머신러닝 부트캠프 (쉽게! 실제 캐글 문제 풀며 정리하기) [데이터분석/과학 Part3],잔재미코딩 DaveLee,https://www.inflearn.com/course/%EC%B2%98%EC%9D%8C-%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D-%EC%9E%85%EB%AC%B8
[AI 실무] AI Research Engineer를 위한 논문 구현 시작하기 with PyTorch,화이트박스,https://www.inflearn.com/course/ai-%EB%85%BC%EB%AC%B8%EA%B5%AC%ED%98%84-pytorch
파이썬을 활용한 머신러닝 딥러닝 입문,YoungJea Oh,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D-%EB%94%A5%EB%9F%AC%EB%8B%9D-%EC%9E%85%EB%AC%B8
파이썬과 딥러닝을 활용한 시계열 자료 처리,YoungJea Oh,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EB%94%A5%EB%9F%AC%EB%8B%9D-%EC%8B%9C%EA%B3%84%EC%97%B4-%EC%9E%90%EB%A3%8C%EC%B2%98%EB%A6%AC
비전공자/입문자를 위한 Data Science(DS)와 AI 학습 & 취업 가이드,AISchool,https://www.inflearn.com/course/ds-ai-%EC%B7%A8%EC%97%85%EA%B0%80%EC%9D%B4%EB%93%9C
수학 없이 시작하는 인공지능 첫걸음: 기초부터 최신 트렌드까지,김지훈,https://www.inflearn.com/course/%EC%88%98%ED%95%99%EC%97%86%EC%9D%B4-%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5-%EC%B2%AB%EA%B1%B8%EC%9D%8C
대학원 안가고 딥러닝 공부할래요 - Basis for deep learning,지승현,https://www.inflearn.com/course/%EB%8C%80%ED%95%99%EC%9B%90%EC%95%88%EA%B0%80%EA%B3%A0-%EB%94%A5%EB%9F%AC%EB%8B%9D-%EA%B3%B5%EB%B6%80-%EA%B8%B0%EB%B0%98%EC%A7%80%EC%8B%9D%ED%8E%B8
[PY 0202] 인공지능을 위한 파이썬 레벨2,공대형아(신경식),https://www.inflearn.com/course/py-0201-%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EB%A0%88%EB%B2%A82
