과목명,강사,url
3dsmax 초급부터 전문가까지 - 한방에 끝내는 3dsmax 강좌,목마하임(MokmaHeim),https://www.inflearn.com/course/3dsmax-%EA%B0%95%EC%A2%8C-%EB%A7%A5%EC%8A%A4
친절한 블렌더 - [LV.1] 기초 모델링,codemod,https://www.inflearn.com/course/%EC%B9%9C%EC%A0%88%ED%95%9C-%EB%B8%94%EB%A0%8C%EB%8D%94-%EA%B8%B0%EC%B4%88-%EB%AA%A8%EB%8D%B8%EB%A7%81
언리얼 엔진의 레벨 디자인과 시각화 표현(언리얼 그래픽스),SW School,https://www.inflearn.com/course/%EC%96%B8%EB%A6%AC%EC%96%BC-%EB%A0%88%EB%B2%A8-%EB%94%94%EC%9E%90%EC%9D%B8-%EC%8B%9C%EA%B0%81%ED%99%94
친절한 블렌더 - [LV.0] 입문 필수,codemod,https://www.inflearn.com/course/%EC%B9%9C%EC%A0%88%ED%95%9C-%EB%B8%94%EB%A0%8C%EB%8D%94-%EC%9E%85%EB%AC%B8-%ED%95%84%EC%88%98
언리얼 엔진 5 스파르타 클래스 - 심화편,YAL,https://www.inflearn.com/course/%EC%96%B8%EB%A6%AC%EC%96%BC-%EC%97%94%EC%A7%845-%EC%95%A0%EB%8B%88%EB%A9%94%EC%9D%B4%EC%85%98
게임 캐릭터를 위한 3ds Max 리깅의 기초,청강문화산업대학교,https://www.inflearn.com/course/%EA%B2%8C%EC%9E%84-%EC%BA%90%EB%A6%AD%ED%84%B0-%EB%A6%AC%EA%B9%85
나만의 캐릭터를 만들 수 있는 지브러시 (Zbrush) 기초,청강문화산업대학교,https://www.inflearn.com/course/%EC%A7%80%EB%B8%8C%EB%9F%AC%EC%8B%9C-%EC%97%AC%ED%96%89%EC%9E%90-%EA%B0%80%EC%9D%B4%EB%93%9C
[나만의 게임 텍스처 제작] 서브스탠스 디자이너의 모든 것,광명땅콩,https://www.inflearn.com/course/%EA%B2%8C%EC%9E%84%ED%85%8D%EC%8A%A4%EC%B2%98-%EC%84%AD%EC%8A%A4%ED%84%B4%EC%8A%A4-%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88
일주일 완성! 3dsmax 입문 (자동차 및 캐릭터 만들기),목마하임(MokmaHeim),https://www.inflearn.com/course/%EC%9D%BC%EC%A3%BC%EC%9D%BC%EC%99%84%EC%84%B1-3dsmax-%EC%9E%85%EB%AC%B8
생각하고 창조하는 언리얼 이펙트 나이아가라 FX,FX Master Hank,https://www.inflearn.com/course/%EC%83%9D%EA%B0%81%ED%95%98%EA%B3%A0-%EC%B0%BD%EC%A1%B0%ED%95%98%EB%8A%94-%EC%96%B8%EB%A6%AC%EC%96%BC-%EC%9D%B4%ED%8E%99%ED%8A%B8-%EB%82%98%EC%9D%B4%EC%95%84%EA%B0%80%EB%9D%BC
친절한 블렌더 - [LV.2] 모델링 연습,codemod,https://www.inflearn.com/course/%EC%B9%9C%EC%A0%88%ED%95%9C-%EB%B8%94%EB%A0%8C%EB%8D%94-%EB%AA%A8%EB%8D%B8%EB%A7%81-%EC%97%B0%EC%8A%B5
언리얼로 만드는 게임사운드 - 초급,강사디,https://www.inflearn.com/course/%EC%96%B8%EB%A6%AC%EC%96%BC-%EA%B2%8C%EC%9E%84%EC%82%AC%EC%9A%B4%EB%93%9C-%EC%B4%88%EA%B8%89
3DS MAX 입문강좌 (입문부터 자동차 예제까지),목마하임(MokmaHeim),https://www.inflearn.com/course/3ds-max-%EC%89%BD%EA%B2%8C-%EB%B0%B0%EC%9A%B0%EB%8A%94-3ds-%EB%A7%A5%EC%8A%A4-%EC%9E%85%EB%AC%B8
Godot Engine 마리오라이크 2D PC 게임 만들기,코드쉼터,https://www.inflearn.com/course/%EA%B3%A0%EB%8F%84-%EB%A7%88%EB%A6%AC%EC%98%A4%EB%9D%BC%EC%9D%B4%ED%81%AC-%EB%A7%8C%EB%93%A4%EA%B8%B0
하루만에 언리얼 엔진5 입문하기,Soft Story,https://www.inflearn.com/course/%ED%95%98%EB%A3%A8%EB%A7%8C%EC%97%90-%EC%96%B8%EB%A6%AC%EC%96%BC-%EC%9E%85%EB%AC%B8
친절한 블렌더 - [LV.3] 캐릭터 애니메이션,codemod,https://www.inflearn.com/course/%EC%B9%9C%EC%A0%88%ED%95%9C-%EB%B8%94%EB%A0%8C%EB%8D%94-%EC%BA%90%EB%A6%AD%ED%84%B0-%EC%95%A0%EB%8B%88%EB%A9%94%EC%9D%B4%EC%85%98
언리얼로 만드는 게임사운드 - 개요,강사디,https://www.inflearn.com/course/%EC%96%B8%EB%A6%AC%EC%96%BC-%EA%B2%8C%EC%9E%84%EC%82%AC%EC%9A%B4%EB%93%9C-%EA%B0%9C%EC%9A%94
언리얼로 만드는 게임사운드 - 중.고급 과정,강사디,https://www.inflearn.com/course/%EC%96%B8%EB%A6%AC%EC%96%BC-%EA%B2%8C%EC%9E%84%EC%82%AC%EC%9A%B4%EB%93%9C-%EC%A4%91%EA%B3%A0%EA%B8%89
Godot Engine 으로 시작하는 첫 게임 개발,코드쉼터,https://www.inflearn.com/course/%EA%B3%A0%EB%8F%84-%EC%B2%AB-%EA%B2%8C%EC%9E%84%EA%B0%9C%EB%B0%9C
언리얼 엔진 5 스파르타 클래스 - 실전편,YAL,https://www.inflearn.com/course/%EC%96%B8%EB%A6%AC%EC%96%BC-%EC%8A%A4%ED%8C%8C%EB%A5%B4%ED%83%80-%EC%8B%A4%EC%A0%84
블렌더 처음 시작부터 로우폴리 3D 애니메이션 까지,AZTechnology,https://www.inflearn.com/course/%EB%B8%94%EB%A0%8C%EB%8D%94-%EB%A1%9C%EC%9A%B0%ED%8F%B4%EB%A6%AC-3d-%EC%95%A0%EB%8B%88%EB%A9%94%EC%9D%B4%EC%85%98
Blender를 이용한 3D 모델링 기초 강의,SW School,https://www.inflearn.com/course/blender-3d-%EB%AA%A8%EB%8D%B8%EB%A7%81-%EA%B8%B0%EC%B4%88
게임 모델링을 위한 3DsMAX 입문과 기초활용,청강문화산업대학교,https://www.inflearn.com/course/%EA%B2%8C%EC%9E%84-%EB%AA%A8%EB%8D%B8%EB%A7%81-3dxmax-%EC%9E%85%EB%AC%B8
블렌더 3D 미피 캐릭터 인사하는 애니메이션 만들기,codemod,https://www.inflearn.com/course/%EB%B8%94%EB%A0%8C%EB%8D%94-3d-%EB%AF%B8%ED%94%BC-%EC%BA%90%EB%A6%AD%ED%84%B0
언리얼 이펙트 실무 Shield,린반,https://www.inflearn.com/course/%EC%96%B8%EB%A6%AC%EC%96%BC-%EC%9D%B4%ED%8E%99%ED%8A%B8-%EC%8B%A4%EB%AC%B4-shield
[왕기초] 후디니 게임 이펙트 만들기,원띵,https://www.inflearn.com/course/%ED%9B%84%EB%94%94%EB%8B%88-%EA%B2%8C%EC%9E%84-%EC%9D%B4%ED%8E%99%ED%8A%B8
"[LV3 : 기술편] 게임스킬 만들기 - 기획, 아트 누구나 만드는 블루프린트",원띵,https://www.inflearn.com/course/%EC%9D%B4%ED%8E%99%ED%8A%B8-vfx-3-%EA%B8%B0%EC%88%A0
[LV2] 이펙터로 취업하기 위한 포트폴리오 만들기,원띵,https://www.inflearn.com/course/%EC%9D%B4%ED%8E%99%ED%8A%B8-vfx-2
"[LV1] 왕초보 이펙트 (VFX) 기초부터 튼튼하게! (UE5, Blender)",원띵,https://www.inflearn.com/course/%EC%9D%B4%ED%8E%99%ED%8A%B8-vfx-1
[게임 그래픽] 이것만 알면 시리즈!,cgbump,https://www.inflearn.com/course/%EC%9D%B4%EA%B2%83%EB%A7%8C-%EC%95%8C%EB%A9%B4-%EA%B2%8C%EC%9E%84-%EA%B7%B8%EB%9E%98%ED%94%BD
쉽게 배우는 ZBrush 입문 강좌,목마하임(MokmaHeim),https://www.inflearn.com/course/%EC%A7%80%EB%B8%8C%EB%9F%AC%EC%8B%9C-%EA%B0%95%EC%A2%8C-zbrush-%EC%9E%85%EB%AC%B8
