과목명,강의 내용,원래 가격
친절한 블렌더 - [LV.0] 입문 필수,블렌더를 처음 시작하는 사람부터 기초를 탄탄하게 쌓고 더 배우고 싶은 분들까지! 기본 기능의 원리와 자주 하게 되는 실수를 친절하게 알려드릴게요. 저와 함께 재미있는 블렌더의 세상으로 빠져볼까요?,무료
친절한 블렌더 - [LV.3] 캐릭터 애니메이션,"귀여운 고양이 캐릭터의 모델링, 리깅, 페인팅, 애니메이션까지 함께 배우고 마을을 걷는 고양이 애니메이션을 만들어요! :)",무료
Godot Engine 마리오라이크 2D PC 게임 만들기,"고도 엔진 (Godot Engine) 으로 PC 플랫폼에서 동작하는 2D 어드벤처 게임을 직접 만들어 보는 강의입니다.
타일 매핑, 횡스크롤 캐릭터 조작, 게임플레이 스크립팅, 애니메이팅, 진행상황 저장, 씬 전환, 게임 빌드 및 배포에 대해 학습하실 수 있습니다.",무료
친절한 블렌더 - [LV.1] 기초 모델링,블렌더를 처음 시작하는 사람부터 기초를 탄탄하게 쌓고 더 배우고 싶은 분들까지! 기본 기능의 원리와 자주 하게 되는 실수를 친절하게 알려드릴게요. 저와 함께 재미있는 블렌더의 세상으로 빠져볼까요?,무료
Godot Engine 으로 시작하는 첫 게임 개발,"고도 엔진 (Godot Engine) 의 기본적인 사용법과 기능을 소개하고, 간단한 2D 게임을 만들어 보는 강의입니다.
고도 엔진의 기본적인 논리 구조인 씬(Scene), 노드(Node) 와 스크립팅 기초를 익힐 수 있습니다.",무료
언리얼 엔진의 레벨 디자인과 시각화 표현(언리얼 그래픽스),"아파트 평면도를 레벨 공간에 3D 입체로 시각화하고, 조명과 각종 오브젝트를 배치해 보면서 레벨디자인의 의미와 3D 그래픽스의 원리, 그리고 이것들을 활용해 공간을 꾸며보는 방법에 대해 알아봅니다. 
동적인 요소인 VFX 이펙트,  애니메이션을 다뤄 보면서 정적인 공간에 활력을 불어넣어 생동감 있는 공간을 만들 수 있습니다. 
제작된 공간에 카메라 연출을 적용해 효과적으로 공간의 분위기를 사용자에게 전달할 수 있게 됩니다.",무료
언리얼 엔진 5 스파르타 클래스 - 심화편,언리얼 엔진의 최신 순기능들로 여러분들의 프로젝트 업그레이드를 목표로 합니다.,무료
하루만에 언리얼 엔진5 입문하기,"언리얼 엔진을 처음 접하는 분들도 이 강의를 들으시면 하루만에 언리얼 엔진에 친숙해 질 수 있습니다. 기초부터 탄탄히, 필요한 부분만 효율적으로 다룹니다.",무료
언리얼로 만드는 게임사운드 - 초급,현직 사운드 디렉터가 알려드려요! 언리얼을 이용한 게임 사운드를 만드는 방법 중 기초 과정을 함께해요.,무료
언리얼로 만드는 게임사운드 - 중.고급 과정,"현직 사운드 디렉터가 전수해주는 ,게임회사 취업을 위한
언리얼을 이용한 실전 게임사운드 개발 스킬 중.고급 과정",무료
공짜 그림 과외하기 (그림 무료 강좌),그림에 대한 기초강의를 담았습니다. 유튜브에 업로드 했던 무료강의입니다.,무료
언리얼로 만드는 게임사운드 - 개요,"언리얼 게임 사운드를 배우기를 고민하시는 분들을 위하여 게임 사운드를 하려면 왜 언리얼을 배워야 하는지, 게임 사운드 전반에 관한 내용을 설명합니다.",무료
친절한 블렌더 - [LV.2] 모델링 연습,"볼륨 있는 작품 하나를 완성해보는 경험을 해보세요. 성취감과 함께 블렌더 실력에 큰 도움이 될 거예요. 
차근차근 하나씩 함께 만들어봅시다! :)",무료
게임 모델링을 위한 3DsMAX 입문과 기초활용,"게임 그래픽을 배워보고 싶은데 어떻게 시작해야 할지 막연하고, 부담스러운 분들에게 공부의 방향을 제시해 드릴 수 있는 3D모델링 입문과정입니다.",무료
