과목명,강사,url
[Unity6] 유니티6로 배우는 실전 멀티플레이 디펜스,Pinous,https://www.inflearn.com/course/%EC%9C%A0%EB%8B%88%ED%8B%B06-%EB%A9%80%ED%8B%B0%ED%94%8C%EB%A0%88%EC%9D%B4-%EB%94%94%ED%8E%9C%EC%8A%A4
[Unity] 함께 만들어가는 방치형 게임 개발,Pinous,https://www.inflearn.com/course/%ED%95%A8%EA%BB%98-%EB%A7%8C%EB%93%9C%EB%8A%94-%EB%B0%A9%EC%B9%98%ED%98%95-%EA%B2%8C%EC%9E%84
"PM,게임기획서 시스템기획 데이터테이블 PO 13주제 122개",써니라이더,https://www.inflearn.com/course/%EA%B2%8C%EC%9E%84-%EC%8B%9C%EC%8A%A4%ED%85%9C%EA%B8%B0%ED%9A%8D-%EB%8D%B0%EC%9D%B4%ED%84%B0%ED%85%8C%EC%9D%B4%EB%B8%94
[따라하면 취업되는 게임기획]클릭커/퍼즐/RPG 기획서 만들기,써니라이더,https://www.inflearn.com/course/%EA%B2%8C%EC%9E%84%EA%B8%B0%ED%9A%8D-%ED%81%B4%EB%A6%AD%EC%BB%A4-%ED%8D%BC%EC%A6%90-rpg
[따라하면 취업되는 게임기획]MORPG 게임밸런스 기획,써니라이더,https://www.inflearn.com/course/%EA%B2%8C%EC%9E%84%EA%B8%B0%ED%9A%8D-%EC%95%8C%ED%94%BC%EC%A7%80-%EB%B0%B8%EB%9F%B0%EC%8A%A4
게임 기획자 성공 전략 가이드,Rookiss,https://www.inflearn.com/course/%EA%B2%8C%EC%9E%84-%EA%B8%B0%ED%9A%8D%EC%9E%90-%EA%B0%80%EC%9D%B4%EB%93%9C
알아두면 쓸모 있는 로블록스 기능,와글와글 팩토리,https://www.inflearn.com/course/%EC%95%8C%EC%95%84%EB%91%90%EB%A9%B4-%EC%93%B8%EB%AA%A8%EC%9E%88%EB%8A%94-%EB%A1%9C%EB%B8%94%EB%A1%9D%EC%8A%A4-%EA%B8%B0%EB%8A%A5
따라하면 취업되는 게임기획 강의!,써니라이더,https://www.inflearn.com/course/%EA%B2%8C%EC%9E%84%EA%B8%B0%ED%9A%8D-%EC%B7%A8%EC%97%85
언리얼 네트워크,SW School,https://www.inflearn.com/course/%EC%96%B8%EB%A6%AC%EC%96%BC-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC
[따라하면 취업되는 게임기획]역기획서/BM분석과개선제안서/창작기획서,써니라이더,https://www.inflearn.com/course/%EA%B2%8C%EC%9E%84%EA%B8%B0%ED%9A%8D-%EC%97%AD%EA%B8%B0%ED%9A%8D%EC%84%9C-%EC%B0%BD%EC%9E%91%EA%B8%B0%ED%9A%8D%EC%84%9C
[따라하면 취업되는 게임기획]실전 농장 SNG 게임,써니라이더,https://www.inflearn.com/course/%EA%B2%8C%EC%9E%84%EA%B8%B0%ED%9A%8D-%EC%8B%A4%EC%A0%84%EB%86%8D%EC%9E%A5-sng
게임기획자를 위한 강화학습 : AI 마리오 에이전트 키우기,인공지능 교수 제이,https://www.inflearn.com/course/%EA%B2%8C%EC%9E%84%EA%B8%B0%ED%9A%8D%EC%9E%90-%EA%B0%95%ED%99%94%ED%95%99%EC%8A%B5-ai-%EB%A7%88%EB%A6%AC%EC%98%A4%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8
[게임기획/PM]운영툴/백오피스와 데이터분석 기획,써니라이더,https://www.inflearn.com/course/%EC%9A%B4%EC%98%81%ED%88%B4-%EB%B0%B1%EC%98%A4%ED%94%BC%EC%8A%A4-%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D
[따라하면 취업되는 게임기획]게임사업PM 준비/게임기획자와 협업,써니라이더,https://www.inflearn.com/course/%EA%B2%8C%EC%9E%84-%EC%82%AC%EC%97%85-pm-%EC%A4%80%EB%B9%84
[따라하면 취업되는 게임기획]MMORPG 길드 기획/이벤트기획,써니라이더,https://www.inflearn.com/course/%EB%8C%80%EA%B8%B0%EC%97%85-%ED%95%A9%EA%B2%A9-%EC%97%AD%EA%B8%B0%ED%9A%8D%EC%84%9C-%EC%9D%B4%EB%B2%A4%ED%8A%B8%EA%B8%B0%ED%9A%8D
게임학개론,나우IT,https://www.inflearn.com/course/%EA%B2%8C%EC%9E%84%ED%95%99%EA%B0%9C%EB%A1%A0
