과목명,강의 내용,할인 기간,할인율,현재 가격,원래 가격
[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part1: C# 기초 프로그래밍 입문,"기초 프로그래밍 지식이 없는 사람들을 위한 C# 프로그래밍 기초 강의입니다.
문법 암기 위주의 수업이 아니라, 최대한 필요한 부분만을 요약해서 진행합니다.",오늘까지,30%,"₩30,800","₩44,000"
[게임 프로그래머 입문 올인원] C++ & 자료구조/알고리즘 & STL & 게임 수학 & Windows API & 게임 서버,"어디부터 시작할지 막막한 게임 프로그래밍 입문자를 위한 All-In-One 커리큘럼입니다.
C++, 자료구조/알고리즘, STL, 게임 수학, Windows API, 게임 서버 입문으로 이어지는
알찬 커리큘럼으로 게임 프로그래밍 기초를 폭넓게 공부합니다.",없음,없음,"₩396,000",없음
[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part4: 게임 서버,"네트워크/멀티쓰레드/운영체제 등 핵심 전공 지식을 공부하고
게임 서버를 바닥부터 만들어보면서 MMORPG 기술을 학습하는 강의입니다.",오늘까지,30%,"₩61,600","₩88,000"
Windows 시스템 프로그래밍 - 기본,"윈도우 계열 프로그래머가 될 생각이 있는 사람이라면 누구나 들어야 할 필수 강의! C/C+, 자료구조, 운영체제 이론까지 공부했나요? 그렇다면 이제는 시스템 프로그램 공부가 정답입니다. 이제부터는 실전입니다!",없음,없음,"₩110,000",없음
언리얼 엔진의 레벨 디자인과 시각화 표현(언리얼 그래픽스),"아파트 평면도를 레벨 공간에 3D 입체로 시각화하고, 조명과 각종 오브젝트를 배치해 보면서 레벨디자인의 의미와 3D 그래픽스의 원리, 그리고 이것들을 활용해 공간을 꾸며보는 방법에 대해 알아봅니다. 
동적인 요소인 VFX 이펙트,  애니메이션을 다뤄 보면서 정적인 공간에 활력을 불어넣어 생동감 있는 공간을 만들 수 있습니다. 
제작된 공간에 카메라 연출을 적용해 효과적으로 공간의 분위기를 사용자에게 전달할 수 있게 됩니다.",없음,없음,"₩77,000",없음
[쥬신게임아카데미 버거쌤] 게임 클라이언트 지망생을 위한 기술 면접 모음 C++편,10년 이상의 기간동안 다수 게임클라이언트 개발자를 배출했던 쥬신게임아카데미에서 다양한 경험을 바탕으로 만들어낸 모의 기술 면접 문제들입니다. 여러분들의 게임 클라이언트 개발자로서의 취업을 응원하겠습니다.,없음,없음,"₩110,000",없음
무엇이든 SWIFT로 만들어보세요,"‘스위프트'로 마스터하는 iOS 프로그래밍!
스위프트를 활용해 앱을 만드는데 필요한 모든 내용을 다룹니다.  초보자도 실습을 잘 따라올 수 있도록 예제를 통해 계산기, 다이어리 앱을 만드는 내용으로 구성하였습니다.",없음,없음,"₩132,000",없음
유니티 AR로 만드는 FPS 게임,"이 강의는 유니티를 이용하여 AR로 진행되는 FPS  게임입니다.
AR 설정부터 빌드후 실행까지 AR 프로젝트에 대해서 배워볼수있습니다.",없음,없음,"₩44,000",없음
[쥬신게임아카데미 선비쌤] 비 전공자를 위한 무작정 시작하는 자료 구조,프로그래밍은 논리와 합리의 학문입니다. 좀 더 주체적으로 사고하며 능동적인 코딩을 위해선 자료구조가 필수입니다. 이 강의는 비전공자를 위한 각종 용어 정리와 개념을 설명해주기 위해 제작되었습니다. 오프라인 수업 현장에서 실제 가르치는 내용들을 토대로 간단한 코드 설계를 통해 자료구조의 종류와 특징들을 알 수 있습니다.,없음,없음,"₩77,000",없음
똥피하기로 배우는 파이게임,이강의를 통해 파이게임을 이해하고 제작할 수 있습니다,없음,없음,"₩5,500",없음
하루만에 언리얼 엔진5 입문하기,"언리얼 엔진을 처음 접하는 분들도 이 강의를 들으시면 하루만에 언리얼 엔진에 친숙해 질 수 있습니다. 기초부터 탄탄히, 필요한 부분만 효율적으로 다룹니다.",없음,없음,없음,없음
스스로 프로그래밍 하는 기초 자료구조/알고리즘(C++),C++ 을 이용해 어렵게 배웠던 자료구조와 알고리즘을 쉽게 어려 단계로 나누어서 습득합니다. 일반적인 강의와는 다르게 자료구조와 알고리즘 수업을 동시에 합쳐서 진행하여 상관 관계를 고려하여 동시 습득이 가능합니다.,없음,없음,없음,없음
Unity와 Git을 활용한 협업 가이드,"Unity 협업 프로젝트에서 사용할 수 있는 기본적인 협업 지식을 배웁니다. Git을 직접적으로 관리하는 작업 방식으로 진행하기 위해 Github Desktop이 아닌 Git Bash를 사용합니다.

이해가 되지 않는 부분이 있으면 질문 주세요!",없음,없음,없음,없음
[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] 번외편: AWS로 시작하는 서버 운영,"힘들게 만든 서버를 개발 환경에서만 썩힐 수는 없습니다.
본 강의는 AWS을 이용해 외부에서도 접속할 수 있도록 
서버를 운영하는 방법에 대해 학습합니다.",오늘까지,30%,"₩30,800","₩44,000"
[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part8: Entity Framework Core,"원활한 데이터베이스 연동을 위해 .NET ORM인 
Entity Framework Core에 대해 학습하는 강의입니다.",오늘까지,30%,"₩30,800","₩44,000"
따라하며 배우는 웹 게임,이 강의를 통해서 웹 게임을 어떻게 개발해야 하는지 알 수 있습니다.,오늘까지,30%,"₩42,350","₩60,500"
게임 프로그래머 취업 전략 가이드,"게임 프로그래머 초봉 6000만원 시대!
무엇을 어떻게 공부할지 막막한 분들을 위해,
게임 업계 및 채용 절차에 대한 생생한 이야기를 준비했습니다.",없음,없음,"₩33,000",없음
C++20 훑어보기,"C++20에 새로 추가된 핵심 문법들이
장기적으로 게임에서 어떻게 응용될 수 있을지 
고민을 해보면서 차근차근 알아봅니다.",없음,없음,"₩33,000",없음
두고두고 써먹는 유니티 VR,"Unity를 이용하여 VR 장비를 연동하고, VR 컨텐츠를 개발하는 방법을 배우는 VR 개발 입문 강의입니다. VR의 시장성이나 전망은 이미 많은 컨텐츠에서 접할 수 있기 때문에 굳이 다루지 않고, 실제 개발에 필요한 핵심만 추렸습니다. 쉽고 빠르게 배워서 두고두고 써먹을 수 있는 VR 개발 방법을 알고 싶다면 여기로 오세요!",없음,없음,"₩49,500",없음
블록체인3.0 NFT GAME,"기존 ""블록체인 게임을 위한 넓고 얕은 지식""의 내용에서 한발 더 나아가 NFT와 NFT GAME에 대한 내용을 구체적으로 다루었습니다. 최근 론칭되고 있는 NFT 게임들의 사례를 통하여 기술 적용 트랜드 변화, 경제 시스템, 효과적으로 NFT 게임을 개발하는 전략을 소개합니다.",없음,없음,"₩33,000",없음
'블록체인 게임'에 대한 넓고 얕은 지식,"블록체인 게임개발에 대한 열기가 매우 뜨거운 요즈음, 블록체인 게임 개발 및 서비스에 대한 전망, 현황, 성공사례 등 각종 이슈를 다루는 세미나 형태의 강의입니다. 블록체인 게임 개발 및 서비스에 직접 관련이 없더라도 시야를 넓히는 좋은 계기가 될 것으로 생각합니다.",없음,없음,"₩16,500",없음
아이폰 앱 제작기 – 원트소프트 꼬마마녀 샐리,앱개발의 전체 과정에 대한 감을 잡을수 있는 게임 구상에서 부터 출시까지 전반적인 과정을 알 수 있습니다.,없음,없음,없음,없음
