과목코드,과목명,과목내용,학점
GS001,3D그래픽디자인,"3D그래픽을 이해하고 제작 방법을 익히기 위해 기초 프로그램인 3DMAX를 활용하는 방법을 익힌다.",3
GS002,게임/애니메이션기업개발론,"게임/애니메이션 기업의 실제 프로젝트 수행 방식을 사례 중심으로 학습한다. 이해관계자의 설득에서부터 최종 산출물의 프리젠테이션에 이르는 전 과정을 하나의 방법론으로 이해하여 실무에 적용가능한 체계적 지식을 습득한다.",3
GS003,게임분석및소재론,"오늘날 점점 규모가 커지는 게임 개발 프로젝트 내에서 게임기획의 역할은 프로젝트의 성공 여부에서 중요한 역할을 하고 있습니다. 게임의 내용과 장르가 복잡함에 따라 게임 개발과정은 매우 고도화되었고, 필요한 지식과 수준은 높아졌습니다. 게임기획은 물론 프로그램, 그래픽팀 등 다양한 파트에서도 게임 개발과정의 이해는 물론 다양한 게임의 소재와 장르에 대한 이해는 필수적입니다. 이를 위해 다양한 장르와 플랫폼에 따른 분석방법과 디자인 방법을 살펴보고, 또한 게임의 기초이론을 통해 실제 게임에 적용된 사례와 실제 디자인을 해봄으로써, 게임 디자인에 대한 이해도를 높히고자 합니다. 특히나 한국 게임 개발에서 주요한 장르로 자리잡고 있는 MMROPG의 개발과정과 다양한 직군들의 업무를 살펴봄으로써, 게임 회사 취업시 필요한 역량강화와 개개인의 적성을 찾기위해 가이드하고 그 일원이 되기 위한 과정을 도와주고자 합니다.",3
GS004,게임수학,"몰입감 높은 가상 게임 세계를 구축하는 데 필수적인 요소인 3차원 효과 생성을 위해서는 다양한 수리/물리학적 지식이 요구된다. 이에 본 과목에서는 3차원 기반 게임 기술 구현을 위한 기초 수학 이론과 이의 응용 방법을 배운다. 벡터 및 행렬 계산과 같은 간단한 선형 대수 이론부터 3차원 물체의 기하학적 표현 방법, 나아가 복잡한 3차원 세계의 효율적 처리 방법 등을 학습한다.",3
GS005,게임엔진,"게임엔진에 대한 전반적 이해를 바탕으로 게임엔진을 구성하는 각 모듈들의 전형적인 기술을 구체적으로 이해하고 직접 사용하거나 구현해 봄으로써 최신의 상용 혹은 오픈소스 게임엔진에 대한 실질적인 활용능력을 확보하고 이를 바탕으로 다양한 게임 서비스에 대한 실제적 아이디어 구상 능력과 이의 프로토타입 개발 능력을 기른다.",3
GS006,게임엔진활용(Unity3D),"게임 제작의 기반인 게임 엔진은 이제 프로그래머의 영역을 넘어 기획자와 그래픽디자이너 등을 모두 포괄하는 종합 개발 플랫폼의 역할을 수행하고 있다. 따라서 본 과목에서는 게임 엔진 자체의 프로그래밍적 구현보다는, 게임 개발에 참여하는 다양한 영역의 실무자들 모두에게 유용한, 게임의 개념 구현과 분야 간 협업 기반으로서의 게임엔진의 활용법을 학습한다.",3
GS007,데이터베이스,"데이터베이스를 전반적으로 이해하는 전공기초지식과 이를 실무에 활용할 수 있는 실무역량을 동시에 함양하도록 돕는다.",3
GS008,모바일프로그래밍,"고객 관리의 개념과 중요성을 인식하고 프로그렘을 통해 고객 관리에 적용할 수 있다. 다양한 모바일 프로그렘에 대해서도 익히고 토론한다.",3
GS009,빅데이터프로젝트(캡스톤디자인),"캡스톤디자인을 통해 빅데이터 분야 아이디어를 창출하고 그 아이디어를 실제로 구현함으로써 빅데이터 기술을 습득하고 창의적 역량을 함양한다.",3
GS010,설계패턴,"처음에 기초를 탄탄히 다진 프로그래머가 진행하는 프로젝트는 개발상의 변경 사항이 적어 흔들림 없이 운영되기 마련이다. 이러한 프로그래머가 되려면 꼭 한 번은 배워야 하는 과정이 정확한 객체지향 이론으로 프로그램과 프로젝트를 설계하는 방법, 즉 디자인 패턴을 배우는 일이다. 이 책은 C#과 UML을 중심으로 객체지향 이론이 무엇인지를 배운 다음 GoF에서 소개하는 디자인 패턴의 핵심 10가지를 알기 쉽게 소개한다. 실제 디자인 패턴을 익히고 활용할 수 있는 다수의 연습 문제를 해결하다 보면 프로그래밍의 기초 개념도 익힐 수 있고, Unity를 이용하여 다양한 실무 프로젝트를 통하여 실무지향형 프로그래머가 되는 초석을 다지게 될 것이다.",3
GS011,소프트웨어공학,"소프트웨어공학의 이론과 실제를 학습하여 소프트웨어 아키텍트로 성장할 수 있는 기초를 다진다.",3
GS012,운영체제,"이 과목은 운영체제의 개념, 구조, 메커니즘을 이해하는 과목입니다. 운영체제는 컴퓨터 시스템 플랫폼의 중심에 있습니다. 오늘날 컴퓨터 시스템에는 임베디드 시스템, PC, 서버, 메인프레임, 슈퍼컴퓨터 등이 있습니다. 컴퓨터의 용량과 속도뿐만 아니라 OS가 지원해야 하는 애플리케이션도 다양합니다. 이 과목에서 다루는 주제는 프로세스, 스레드, 가상 메모리, 스케줄링, 입출력, 파일, 보안, 네트워크, 분산 시스템 등이 있습니다.",3
GS013,윈도우프로그래밍,".NET Framework의 역할과 C#프로그래밍 언어와의 관계를 이해할 수 있으며 클래스 구조를 설계하고 객체지향 프로그래밍으로 구현할 수 있고 Graphic User Interface(GUI) 컨트롤을 이용하여 프로그램을 만들 수 있다.",3
GS014,일반물리,"응용 과학의 각 분야를 공부하는 학생들에게 일반 물리학을 학습하게 함으로써 물리학의 기본적인 원리와 법칙을 이해하고 이해한 바를 논리적으로 체계화하는 기술을 터득케 하여 각 전공 분야 연구에 있어 기본을 다짐은 물론, 학문의 폭과 응용할 수 있는 능력을 길러 줄 수 있도록 한다.",3
GS015,자료구조,"프로그래밍의 근간이 되는 자료구조에 대한 이론과 활용법을 학습하여 소프트웨어 개발의 기초를 다진다.",3
GS016,지능시스템,"인공지능 개발의 기초가 되는 딥러닝프레임워크 개발 방법을 학습한다.",3
GS017,컴퓨터구조,"이 교과목은 컴퓨터 시스템 구조의 기초적인 지식을 다룬다. 수행 능력 측정을 포함한 하드웨어 기초 지식, 명령어 집합 구조, 산술 논리, 파이프라인, 그리고 메모리 계층 구조 등의 내용을 가르친다. 컴퓨터는 소프트웨어를 실행하는 하드웨어 장치다. ‘컴퓨터 구조’는 컴퓨터라는 기계가 어떠한 구성 요소들로 만들어져 있는지, 프로그램을 실행하기 위하여 구성 요소들이 어떻게 동작하는지 학습하는 교과목이다. 소프트웨어는 궁극적으로 컴퓨터 하드웨어 위에서 동작한다. 소프트웨어는 하드웨어가 실행할 수 있는 명령어들을 차례대로 배치한 프로그램이다. 그러므로 소프트웨어가 실행되는 바탕은 컴퓨터 구조다.",3
