과목코드,과목명,학점,웹/앱,게임,데이터,보안
GS001,3D그래픽디자인,2,No,Yes,No,No
GS002,게임/애니메이션기업개발론,2,No,Yes,No,No
GS003,게임분석및소재론,2,No,Yes,Yes,No
GS004,게임수학,3,Yes,Yes,Yes,Yes
GS005,게임엔진,3,No,Yes,Yes,No
GS006,게임엔진활용(Unity3D),3,No,Yes,Yes,No
GS007,데이터베이스,3,Yes,No,Yes,Yes
GS008,모바일프로그래밍,3,Yes,No,Yes,No
GS009,빅데이터프로젝트(캡스톤디자인),2,Yes,No,Yes,No
GS010,설계패턴,3,Yes,Yes,Yes,No
GS011,소프트웨어공학,2,Yes,No,Yes,Yes
GS012,운영체제,3,Yes,No,Yes,Yes
GS013,윈도우프로그래밍,3,Yes,No,Yes,No
GS014,일반물리,3,Yes,Yes,Yes,No
GS015,자료구조,2,Yes,No,Yes,No
GS016,지능시스템,2,Yes,Yes,Yes,No
GS017,컴퓨터구조,2,Yes,No,Yes,Yes
