과목코드,과목명,학점,웹/앱,게임,데이터,보안
IS001,디지털포렌식,3,False,False,False,True
IS002,보안알고리즘,3,False,False,True,True
IS003,보안운영체제,3,False,False,False,True
IS004,보안프로그래밍,2,True,False,True,True
IS005,블록체인기술및응용,3,True,False,True,True
IS006,선형대수학,2,True,True,True,True
IS007,악성코드분석,2,False,False,False,True
IS008,암호수학2,3,True,False,True,True
IS009,암호학응용,3,False,False,True,True
IS010,웹서버보안프로그래밍,3,True,False,False,True
IS011,웹어플리케이션보안(캡스톤디자인),3,True,False,True,True
IS012,일반수학Ⅱ,3,True,True,True,True
IS013,정보보안운영기초,2,False,False,False,True
IS014,정보보호응용실습,3,True,False,False,True
IS015,정보보호평가및인증,3,False,False,False,True
IS016,정보보호프로젝트설계실습,3,True,False,True,True
IS017,패킷분석및공격대응,2,False,False,False,True
