과목명,강사,url
AWS Certified Cloud Practitioner 자격증 준비하기,코드바나나,https://www.inflearn.com/course/aws-%EC%9E%90%EA%B2%A9%EC%A6%9D-%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-%EA%B8%B0%EC%B4%88?attributionToken=ChM4NTUzMzQyOTM4OTI0OTU5MDc4EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dESsvHREvPRhBK-8tESj_LRErTx0RKM8tES-vHREq3y0RKp8tESu_LREg
Jenkins를 이용한 CI/CD Pipeline 구축,Dowon Lee,https://www.inflearn.com/course/%EC%A0%A0%ED%82%A8%EC%8A%A4-ci-cd-%ED%8C%8C%EC%9D%B4%ED%94%84%EB%9D%BC%EC%9D%B8?attributionToken=ChM4NTUzMzQyOTM4OTI0OTU5MDc4EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dESsvHREvPRhBK-8tESj_LRErTx0RKM8tES-vHREq3y0RKp8tESu_LREg
AWS 클라우드 이해와 실습,기술노트with알렉,https://www.inflearn.com/course/%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-%EC%9E%85%EB%AC%B8%EC%9E%90-%EC%9D%B4%ED%95%B4%EC%99%80%EC%8B%A4%EC%8A%B5?attributionToken=ChM4NTUzMzQyOTM4OTI0OTU5MDc4EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dESsvHREvPRhBK-8tESj_LRErTx0RKM8tES-vHREq3y0RKp8tESu_LREg
처음 만난 AWS,Inje Lee (소플),https://www.inflearn.com/course/%EC%B2%98%EC%9D%8C%EB%A7%8C%EB%82%9C-aws?attributionToken=ChM4NTUzMzQyOTM4OTI0OTU5MDc4EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dESsvHREvPRhBK-8tESj_LRErTx0RKM8tES-vHREq3y0RKp8tESu_LREg
Spring Cloud로 개발하는 마이크로서비스 애플리케이션(MSA),Dowon Lee,https://www.inflearn.com/course/%EC%8A%A4%ED%94%84%EB%A7%81-%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-%EB%A7%88%EC%9D%B4%ED%81%AC%EB%A1%9C%EC%84%9C%EB%B9%84%EC%8A%A4?attributionToken=ChM4NTUzMzQyOTM4OTI0OTU5MDc4EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dESsvHREvPRhBK-8tESj_LRErTx0RKM8tES-vHREq3y0RKp8tESu_LREg
MySQL Geospatial Query를 통한 위치 탐색과 AWS를 활용한 이미지 캐싱,July,https://www.inflearn.com/course/couldfront-s3-%EC%9D%B4%EB%AF%B8%EC%A7%80-%ED%8C%8C%EC%9D%BC-%EC%BA%90%EC%8B%B1?attributionToken=ChM4NTUzMzQyOTM4OTI0OTU5MDc4EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dESsvHREvPRhBK-8tESj_LRErTx0RKM8tES-vHREq3y0RKp8tESu_LREg
AWS SAA-C03 자격증 대비-핵심 정리,쌤즈(SSAMZ),https://www.inflearn.com/course/aws-saa-c03-%ED%95%B5%EC%8B%AC%EC%A0%95%EB%A6%AC?attributionToken=ChM4NTUzMzQyOTM4OTI0OTU5MDc4EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dESsvHREvPRhBK-8tESj_LRErTx0RKM8tES-vHREq3y0RKp8tESu_LREg
OpenStack을 활용한 클라우드 환경 구축하기,한국정보보호교육센터,https://www.inflearn.com/course/openstack-%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-%ED%99%98%EA%B2%BD-%EA%B5%AC%EC%B6%95%ED%95%98%EA%B8%B0?attributionToken=ChM4NTUzMzQyOTM4OTI0OTU5MDc4EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dESsvHREvPRhBK-8tESj_LRErTx0RKM8tES-vHREq3y0RKp8tESu_LREg
"야, 너도 AI 서비스 만들 수 있어. [이미지 AI 서비스 서버리스 풀스택]",배울장,https://www.inflearn.com/course/ai%EC%84%9C%EB%B9%84%EC%8A%A4-%EC%84%9C%EB%B2%84%EB%A6%AC%EC%8A%A4-%ED%92%80%EC%8A%A4%ED%83%9D?attributionToken=ChM4NTUzMzQyOTM4OTI0OTU5MDc4EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dESsvHREvPRhBK-8tESj_LRErTx0RKM8tES-vHREq3y0RKp8tESu_LREg
[2024] 실무에서 사용중인 AWS 클라우드 IAM 이해와 보안,천강민,https://www.inflearn.com/course/%EC%8B%A4%EB%AC%B4%EC%97%90%EC%84%9C-%EC%82%AC%EC%9A%A9%EC%A4%91%EC%9D%B8-aws%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-iam-part1?attributionToken=ChM4NTUzMzQyOTM4OTI0OTU5MDc4EA0aI3JlY29tbWVuZGVfcmVjb21tZW5kZV8xNzAyNTI2NDM0MDY2IhdyZWNvbW1lbmRlZC1mb3IteW91LWN2cigAOiz38dESsvHREvPRhBK-8tESj_LRErTx0RKM8tES-vHREq3y0RKp8tESu_LREg
