과목명,강의 내용,원래 가격
초보자도 쉽게 따라하는 블록체인 프로그래밍(코인제작포함),블록체인 프로그래밍과 스마트 컨트랙트의 개념과  특징을 이해하고 활용할 수 있습니다.,무료
"네이버, 카카오 임직원들이 듣고 있는 비트코인 강의",비트코인에 대한 깊이 있는 이해를 할 수 있습니다.,무료
블록체인 노드 블록 스캐너 만들기,"블록체인 개발을 하는데에 있어서, 블록에 대한 데이터를 저장하는 스캐너를 개발하는 과정을 담았습니다.",무료
"아무도 알려주지 않은 비트코인, 이더리움의 리스크","크립토 투자에 기초적인 비트코인,이더리움,다른 레이어1(코스모스) 의 가치와 리스크에 대해서 함께 다루는 강의입니다.",무료
"블록체인 전문가들도 놓치기 쉬운 비트코인, 이더리움의 핵심 가치","블록체인 기획자,개발자,회사 대표라면 반드시 한번은 봐야 하는 강의입니다. 따로 공부할 시간이 없었다면, 이 요약본 강의를 통해서 비트코인,이더리움 백서의 핵심을 이해할 수 있습니다.",무료
장박사의 메타버스와 NFT,"메타버스 기술을 단시간에 이해할 수 있고, 코딩 없이 메타버스 월드 제작과 NFT 발행 및 판매에 대한 실무까지 알려드립니다.",무료
디파이 킹덤 P2E(Play to Earn)로 투잡하기,"최근 떠오르는 NFT, 블록체인, 디파이 기술과 결합된 게임 P2E에 대해 알아보고, 이해하고, 플레이 해보고 싶으신 분들을 위해 만들어진 강의입니다.",무료
스마트 컨트랙트 이벤트 모듈 배우고 학습하기,"해당 강의에서는 Dapp을 만드는데 필수적 요소인 이벤트 캐치 모듈을 작성하는 방법에 대해서 다루고 있습니다.

블록체인 or Dapp에 대한 백엔드 개발을 하고 싶으신분이라면 많은 도움이 될 것입니다.",무료
"블록체인, 가상자산거래소 보안","블록체인 개념과 기술을 이해하고, 가상자산거래소에 특화된 ISMS-P 인증심사를 할 수 있습니다.",무료
모두를 위한 모두의 EVM 블록체인 BApp 개발 - 입문,"이 강의를 통해 ERC20(Coin), ERC721(NFT) 사용법과 간단한 NFT Presale 서비스를 만들어봅니다.
Opensea와 Metamask 사용법을 익히고 개발 노하우와 이론에 관련한 지식도 나눠드립니다.",무료
GameFi - 블록체인 Web3 게임 만들기,"GameFi 블록체인 게임을 만드는 과정을 학습한 후, Phaser3 게임 엔진을 사용한 자신만의 블록체인 게임 개발을 시도해 봅니다.","₩99,000"
