과목명,강사,url
블록체인 기반의 스마트컨트랙트 개발,JeungJoo Lee,https://www.inflearn.com/course/%EB%B8%94%EB%A1%9D%EC%B2%B4%EC%9D%B8-dapp_smartcontract?attributionToken=ChQxMDA3MDQxNzExMDU4MDQwMTM5NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvfx0RKy8dES89GEEo_y0RK78tES-vHREozy0RK-8tESrfLREqny0RI
초보자도 쉽게 따라하는 블록체인 프로그래밍(코인제작포함),대니월드,https://www.inflearn.com/course/%EB%B8%94%EB%A1%9D%EC%B2%B4%EC%9D%B8-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D-%EC%BD%94%EC%9D%B8%EC%A0%9C%EC%9E%91?attributionToken=ChQxMDA3MDQxNzExMDU4MDQwMTM5NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvfx0RKy8dES89GEEo_y0RK78tES-vHREozy0RK-8tESrfLREqny0RI
"주요 지표 분석을 통한 비트코인, 알트코인 투자 노하우",대니월드,https://www.inflearn.com/course/%EB%B9%84%ED%8A%B8%EC%BD%94-%EC%95%8C%ED%8A%B8%EC%BD%94%EC%9D%B8-%ED%88%AC%EC%9E%90?attributionToken=ChQxMDA3MDQxNzExMDU4MDQwMTM5NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvfx0RKy8dES89GEEo_y0RK78tES-vHREozy0RK-8tESrfLREqny0RI
블록체인 채굴 모듈 만들어보기,July,https://www.inflearn.com/course/%EB%94%B0%EB%9D%BC%ED%95%98%EB%A9%B4%EC%84%9C-%EB%A7%8C%EB%93%9C%EB%8A%94-%EB%B8%94%EB%A1%9D%EC%B2%B4%EC%9D%B8-%EC%BD%94%EC%96%B4-golang?attributionToken=ChQxMDA3MDQxNzExMDU4MDQwMTM5NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvfx0RKy8dES89GEEo_y0RK78tES-vHREozy0RK-8tESrfLREqny0RI
"아무도 알려주지 않은 비트코인, 이더리움의 리스크",대니월드,https://www.inflearn.com/course/%ED%81%AC%EB%A6%BD%ED%86%A0-%ED%88%AC%EC%9E%90-%EC%A0%95%EC%84%9D?attributionToken=ChQxMDA3MDQxNzExMDU4MDQwMTM5NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvfx0RKy8dES89GEEo_y0RK78tES-vHREozy0RK-8tESrfLREqny0RI
"블록체인 전문가들도 놓치기 쉬운 비트코인, 이더리움의 핵심 가치",대니월드,https://www.inflearn.com/course/%EB%B9%84%ED%8A%B8%EC%BD%94%EC%9D%B8-%EC%9D%B4%EB%8D%94%EB%A6%AC%EC%9B%80-%ED%95%B5%EC%8B%AC-%EA%B0%80%EC%B9%98?attributionToken=ChQxMDA3MDQxNzExMDU4MDQwMTM5NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvfx0RKy8dES89GEEo_y0RK78tES-vHREozy0RK-8tESrfLREqny0RI
장박사의 메타버스와 NFT,멘토티멘토링,https://www.inflearn.com/course/%EC%9E%A5%EB%B0%95%EC%82%AC-%EB%A9%94%ED%83%80%EB%B2%84%EC%8A%A4-%EB%B8%94%EB%A1%9D%EC%B2%B4%EC%9D%B8?attributionToken=ChQxMDA3MDQxNzExMDU4MDQwMTM5NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvfx0RKy8dES89GEEo_y0RK78tES-vHREozy0RK-8tESrfLREqny0RI
모두를 위한 모두의 EVM 블록체인 BApp 개발 - 입문,모영철,https://www.inflearn.com/course/%EB%AA%A8%EB%91%90%EC%9D%98-evm-%EB%B8%94%EB%A1%9D%EC%B2%B4%EC%9D%B8-bapp-%EA%B0%9C%EB%B0%9C?attributionToken=ChQxMDA3MDQxNzExMDU4MDQwMTM5NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvfx0RKy8dES89GEEo_y0RK78tES-vHREozy0RK-8tESrfLREqny0RI
NFT 만들며 배우는 블록체인과 웹3 기초,박형주,https://www.inflearn.com/course/nft-%EB%B8%94%EB%A1%9D%EC%B2%B4%EC%9D%B8-%EC%9B%B93-%EA%B8%B0%EC%B4%88?attributionToken=ChQxMDA3MDQxNzExMDU4MDQwMTM5NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvfx0RKy8dES89GEEo_y0RK78tES-vHREozy0RK-8tESrfLREqny0RI
"네이버, 카카오 임직원들이 듣고 있는 비트코인 강의",대니월드,https://www.inflearn.com/course/%EB%B9%84%ED%8A%B8%EC%BD%94%EC%9D%B8-%EB%B0%B1%EC%84%9C-%EC%9D%B4%ED%95%B4?attributionToken=ChQxMDA3MDQxNzExMDU4MDQwMTM5NRANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADostPHREvfx0RKy8dES89GEEo_y0RK78tES-vHREozy0RK-8tESrfLREqny0RI
