과목명,강의 내용,원래 가격
[개정판] 파이썬 머신러닝 완벽 가이드,이론 위주의 머신러닝 강좌에서 탈피하여 머신러닝의 핵심 개념을 쉽게 이해함과 동시에 실전 머신러닝 애플리케이션 구현 능력을 갖출 수 있도록 만들어 드립니다.,무료
시계열 분석과 예측,데이터 분석 전문가로 거듭나기 위한 시계열 강의! 이론과 실기에 강한 분석가가 되어 봅시다!,"₩44,000"
딥러닝을 위한 기초 수학,"딥러닝을 본격적으로 활용하기 위한 머신러닝 개념, 인공지능의 학습 원리, 모델 구현을 위한 수학적 원리 알기!",무료
딥러닝과 데이터분석을 위한 기초수학 (w.파이썬),"데이터 과학의 핵심은 방대한 데이터를 체계적으로 분석하는 능력을 지닌 인간을 잘 모방하는 것!
해당 과정을 통해 데이터 과학의 기본이 되는 과학적 모델링을 이해하기 위한 기초적인 수학 지식을 리마인드 할 수 있습니다.",무료
"파이썬으로 시작하는 머신러닝+딥러닝(sklearn을 이용한 머신러닝부터 TensorFlow, Keras를 이용한 딥러닝 개발까지)","머신러닝&딥러닝의 기초부터 확실하게!
파이썬으로 분류/회귀/군집/인공신경망 생성과 활용까지",무료
스파크 머신러닝 완벽 가이드 - Part 1,"스파크(Spark) 머신러닝의 핵심 Framework에 대한 이해,  난이도 높은 실전 문제를 통한 SQL 기반의 데이터 가공,  업무 도메인 분석을 통한 데이터 분석과 최적화된 머신러닝 모델 구현 능력까지, 대용량 데이터 기반에서 머신러닝 전문가로 인정 받고 싶다면 이 강의와 함께 하십시요.",무료
[PY 0201] 인공지능을 위한 파이썬 레벨1,"파이썬의 기본 문법에 대해 많은 연습을 하는 강의입니다.
파이썬의 문법과 함께 머신러닝, 딥러닝에 사용되는 실전연습을 하는 강의입니다.",무료
실전도커: 도커로 나만의 딥러닝 클라우드 컴퓨터 만들기,"도커를 사용해서 클라우드에 딥러닝 분석환경을 만들 수 있습니다. 

구글, MS 등이 관리하는 도커 이미지와 클라우드가 결합할 때 여러분의 컴퓨터에서 가장 최신의 딥러닝 분석 방법으로 작업을 수행하는 것이 가능해집니다.",무료
CUDA 프로그래밍 (3) - C/C++/GPU 병렬 컴퓨팅 - 메모리 구조,"✅ 전체 (1) ~ (6)의 시리즈 중, (3) CUDA 메모리 계층구조 최적화 ✅ NVIDIA GPU + CUDA 프로그래밍을 기초부터 차근차근 설명합니다. ✅ C++/C 언어로 배열/행렬/이미지처리/통계처리/정렬 등을 병렬 컴퓨팅으로 매우 빠르게 처리합니다.",무료
하루만에 끝내는 생성형 AI 핵심 정리,"머신러닝, 딥러닝에서 생성형 AI까지 이르는 핵심 이론을 한번에 정리를 합니다. 그리고 쉬운 파이썬 코드로 다양한 생성형 AI 애플리케이션을 구현함으로써 AI 개발자로서 첫걸음을 뗄 수 있습니다.",무료
파이썬과 딥러닝을 활용한 시계열 자료 처리,"시간은 끊임없이 흐르고, 데이터는 계속 쌓입니다. 이 역동적인 세계에서 시계열 데이터는 우리 삶의 모든 측면에서 중요한 역할을 합니다. 금융 시장의 변동성부터 기후 변화의 미묘한 신호에 이르기까지, 시계열 데이터는 이 모든 것을 담고 있습니다. 이제 이 강력한 데이터를 파이썬과 딥러닝의 힘을 이용하여 해석하고 활용하는 방법을 배워보세요!",무료
AI 웹 프로그래밍 (Streamlit),AI 데이터 분석 및 모델링 결과를 Web Program 으로 만들어 보세요.,무료
상상을 현실로! 스테이블 디퓨전 기본 클래스,"스테이블 디퓨전 설치와 기본적인 확장 기능을 배울 수 있으며, 
컨트롤넷의 기본 사용법을 익힐 수 있습니다.",무료
"머신러닝 모델을 활용한 Android, iOS 앱 개발","간단한 머신러닝 모델을 기반으로 Android/iOS 앱을 만들어보고, 머신러닝에 대한 기초, TFLite를 사용한 모델 변환, 안드로이드 앱/iOS 앱을 구현하는 과정을 알게됩니다.",무료
누구나 쉽게 이해하는 4차 산업혁명 ICBM기술,"4차 산업혁명 기술의 핵심인 ICBM (IoT, Cloud, Big
Data, ML) 및 자율주행차, 메타버스 등의 관련 기술을 기초부터 학습하여, 향후 기술의 변화를 대비할 수 있는 역량을 키우도록 합니다.",무료
머신러닝 처음 시작하기 (기초 원리 + 초급 실습),머신러닝을 처음 접하는 사람들을 대상으로 기초적인 머신러닝 이론을 간략하게 다룬 머신러닝 기초 강의입니다.,무료
Python을 이용한 개인화 추천시스템 | 추천알고리즘 | 추천인공지능,다양한 추천 알고리즘 동작 원리를 이해함으로써 여러분만의 개인화 추천 알고리즘을 만들어보세요!,무료
비전공자/입문자를 위한 Data Science(DS)와 AI 학습 & 취업 가이드,"Data Science(DS)와 Artificial Intelligence(AI) 관련 직군 분석과
관련 직군으로 커리어를 쌓아나가기 위한 학습 및 취업 로드맵을 배워보세요.",무료
인공지능 기초수학,"학창시절 수포자였나요?
인공지능에서 수학이 중요하다고 하는데, 어떻게 접근해야할지 막막하나요?
인공지능에서 수학이 중요한 이유는, 인공지능(머신러닝과 딥러닝)의 연산 과정에서 수학을 사용하고 있기 때문입니다.
인공지능을 이해하기 위한 미분, 선형대수학 및 확률과 통계에 대한 쉬운 설명을 위해 수학적 풀이보다 그래프(좌표)를 이용한 쉬운 설명으로 구성되었습니다.",무료
GPU 프로그래밍 언어 CUDA(쿠다) 기초,"CUDA는 GPU 프로그래밍 언어입니다. C, C++를 변경해서 만든 언어라 C, C++ 개발자라면 누구나 쉽게 접근할 수 있습니다. 하지만 GPU 머신과 CUDA 프로그래밍의 특성을 반드시 이해하셔야 합니다.
본 강좌는 GPU 머신을 이해하고 CUDA를 작성하여 딥러닝의 기초 연산인 행렬곱을 실행합니다. 이 과정을 통해 여러분은 GPU 프로그래밍을 능숙하게 다루실 수 있습니다.",무료
AI로 돈 버는 법 - 사례로 알아보는 AI Transformation,"AI 기업리뷰를 통해 AI 기술이 우리의 현재와 미래를 어떻게 바꿔나갈지를 다양한 사례를 통해 살펴봅니다. 
AI 프로젝트를 진행하기 위해 필요한 요소들을 살펴봄으로써 다가올 AI Transformation을 준비합니다.",무료
