과목명,강사,url
모든 개발자를 위한 HTTP 웹 기본 지식,김영한,https://www.inflearn.com/course/http-%EC%9B%B9-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC
외워서 끝내는 네트워크 핵심이론 - 기초,널널한 개발자,https://www.inflearn.com/course/%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-%ED%95%B5%EC%8B%AC%EC%9D%B4%EB%A1%A0-%EA%B8%B0%EC%B4%88
외워서 끝내는 네트워크 핵심이론 - 응용,널널한 개발자,https://www.inflearn.com/course/%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-%ED%95%B5%EC%8B%AC%EC%9D%B4%EB%A1%A0-%EC%9D%91%EC%9A%A9
개발자를 위한 쉬운 도커,데브위키,https://www.inflearn.com/course/%EA%B0%9C%EB%B0%9C%EC%9E%90%EB%A5%BC-%EC%9C%84%ED%95%9C-%EC%89%AC%EC%9A%B4-%EB%8F%84%EC%BB%A4
이해하면 인생이 바뀌는 네트워크 프로그래밍,널널한 개발자,https://www.inflearn.com/course/%EC%9D%B4%ED%95%B4%ED%95%98%EB%A9%B4-%EC%9D%B8%EC%83%9D%EC%9D%B4-%EB%B0%94%EB%80%8C%EB%8A%94-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D
DevOps를 위한 Docker 가상화 기술 (Private Harbor Registry),Dowon Lee,https://www.inflearn.com/course/devops-docker-%EA%B0%80%EC%83%81%ED%99%94-%EA%B8%B0%EC%88%A0
왕초보를 위한 네트워크 기초,보물상자,https://www.inflearn.com/course/%EC%99%95%EC%B4%88%EB%B3%B4-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-%EA%B8%B0%EC%B4%88
"롱런하는 슈퍼 개발자가 되기 위한 필수 지식, IT 인프라 기초 총정리",쉐어드IT,https://www.inflearn.com/course/%EB%88%84%EA%B5%AC%EB%82%98-%EC%89%BD%EA%B2%8C-%EC%9D%B4%ED%95%B4%ED%95%98%EB%8A%94-it-%EC%9D%B8%ED%94%84%EB%9D%BC-%EA%B8%B0%EC%B4%88
그림으로 쉽게 배우는 네트워크,감자,https://www.inflearn.com/course/%EA%B7%B8%EB%A6%BC%EC%9C%BC%EB%A1%9C-%EC%89%BD%EA%B2%8C-%EB%B0%B0%EC%9A%B0%EB%8A%94-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC
BHPT - 호스트 기반 모의해킹 기초,레드라쿤,https://www.inflearn.com/course/%ED%98%B8%EC%8A%A4%ED%8A%B8-%EA%B8%B0%EB%B0%98-%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9-%EA%B8%B0%EC%B4%88
CloudNet@와 함께하는 Amazon EKS 기본 강의,Ongja_CloudNet@,https://www.inflearn.com/course/amazon-eks-%EA%B8%B0%EB%B3%B8-%EA%B0%95%EC%9D%98
비전공자도 쉽게 구성하는 MSA 서비스 모니터링 대시보드,July,https://www.inflearn.com/course/%EB%B6%84%EC%82%B0%EB%90%9C-%EC%84%9C%EB%B9%84%EC%8A%A4-latency-%EC%B6%94%EC%A0%81%ED%95%98%EA%B8%B0
20년 경력자의 알기쉬운 컴퓨터네트워크,넷가이버,https://www.inflearn.com/course/%ED%8C%A8%ED%82%B7%ED%8A%B8%EB%A0%88%EC%9D%B4%EC%84%9C-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC
Spring Boot를 활용하여 채팅 플랫폼 만들어보기,Hong,https://www.inflearn.com/course/%EB%8C%80%EA%B8%B0%EC%97%85-%EA%B0%9C%EB%B0%9C%EC%9E%90-spring-%EB%8C%80%EC%9A%A9%EB%9F%89-tps
네트워크 패킷 분석 입문 및 악성코드 샘플 분석,보안프로젝트,https://www.inflearn.com/course/%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-%ED%8C%A8%ED%82%B7-%EB%B6%84%EC%84%9D-%EC%9E%85%EB%AC%B8-%EB%B0%8F-%EC%95%85%EC%84%B1%EC%BD%94%EB%93%9C-%EC%83%98%ED%94%8C-%EB%B6%84%EC%84%9D
쿠버네티스 어나더 클래스 (지상편) - Sprint3,일프로,https://www.inflearn.com/course/%EC%BF%A0%EB%B2%84%EB%84%A4%ED%8B%B0%EC%8A%A4-%EC%96%B4%EB%82%98%EB%8D%94-%ED%81%B4%EB%9E%98%EC%8A%A4-%EC%A7%80%EC%83%81%ED%8E%B8-sprint3
누구나 시작할 수 있는 네트워크 Step 3 (네트워크 만들기),존찬,https://www.inflearn.com/course/%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-3-%EA%B5%AC%EC%B6%95
이득우의 언리얼 프로그래밍 Part3 - 네트웍 멀티플레이 프레임웍의 이해,이득우,https://www.inflearn.com/course/%EC%9D%B4%EB%93%9D%EC%9A%B0-%EC%96%B8%EB%A6%AC%EC%96%BC-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D-part-3
대용량 채팅 TPS 처리를 위한 웹소켓 통신 만들며 학습하기,July,https://www.inflearn.com/course/%EB%8C%80%EC%9A%A9%EB%9F%89-%EC%B1%84%ED%8C%85-%EC%84%9C%EB%B2%84-%EC%B2%98%EB%A6%AC-%EC%9B%B9%EC%86%8C%EC%BC%93-%ED%86%B5%EC%8B%A0
1000만 Traffic을 견디며 적용한 RPC 통신에 대해 학습하고 구현해보기,July,https://www.inflearn.com/course/%EB%8C%80%EC%9A%A9%EB%9F%89-tps-%EB%8C%80%EB%B9%84-rpc-%ED%86%B5%EC%8B%A0
실습으로 배우는 핵심 네트워크 기술,보물상자,https://www.inflearn.com/course/%EC%8B%A4%EC%8A%B5%EC%9C%BC%EB%A1%9C-%EB%B0%B0%EC%9A%B0%EB%8A%94-%ED%95%B5%EC%8B%AC-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-%EA%B8%B0%EC%88%A0
누구나 시작할 수 있는 네트워크 Step 2 (서브넷팅),존찬,https://www.inflearn.com/course/%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-step2-%EC%84%9C%EB%B8%8C%EB%84%B7%ED%8C%85
누구나 시작할 수 있는 네트워크 Step 1 (네트워크 모델),존찬,https://www.inflearn.com/course/%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-1-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-%EB%AA%A8%EB%8D%B8
[2024 리뉴얼] 스스로 구축하는 AWS 클라우드 네트워크 - 기본편,노마드 콘텐츠 랩,https://www.inflearn.com/course/aws-%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-%EA%B8%B0%EB%B3%B8
실무자가 알려주는 CANoe - CAPL과 Panel 기본 사용법,존버매니아,https://www.inflearn.com/course/%EC%8B%A4%EB%AC%B4%EC%9E%90%EA%B0%80-%EC%95%8C%EB%A0%A4%EC%A3%BC%EB%8A%94-canoe-capl%EA%B3%BC-panel%EA%B8%B0%EB%B3%B8
실무에서 꼭 필요한 서버 모니터링(Zabbix),유똥,https://www.inflearn.com/course/%EA%BC%AD-%ED%95%84%EC%9A%94%ED%95%9C-%EC%84%9C%EB%B2%84-%EB%AA%A8%EB%8B%88%ED%84%B0%EB%A7%81-zabbix
인프라공방 - 그럴듯한 서비스 만들기,이동규,https://www.inflearn.com/course/%EC%9D%B8%ED%94%84%EB%9D%BC-%EA%B3%B5%EB%B0%A9-%EC%84%9C%EB%B9%84%EC%8A%A4-%EB%A7%8C%EB%93%A4%EA%B8%B0
[보안] Wazuh+ELK(SIEM)를 활용한 위협헌팅(Threat Hunting) 시스템 구축 및 운영실습 (기초),취업폭격기 제로미니,https://www.inflearn.com/course/wazuh-elk-%EC%9C%84%ED%98%91%ED%97%8C%ED%8C%85-%EC%8B%9C%EC%8A%A4%ED%85%9C-%EA%B5%AC%EC%B6%95-%EC%9A%B4%EC%98%81%EC%8B%A4%EC%8A%B5-%EA%B8%B0%EC%B4%88
CloudNet@와 함께하는 AWS 네트워킹 입문,Ongja_CloudNet@,https://www.inflearn.com/course/cloudneta-aws-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%82%B9-%EC%9E%85%EB%AC%B8
정보보호시스템 구축 이해,ISMS-P WIN,https://www.inflearn.com/course/%EC%A0%95%EB%B3%B4%EB%B3%B4%ED%98%B8%EC%8B%9C%EC%8A%A4%ED%85%9C-%EA%B5%AC%EC%B6%95-%EC%9D%B4%ED%95%B4
IT 활용자를 위한 MS Azure 2023 클라우드 서비스 입문과 실습,이상희강사,https://www.inflearn.com/course/ms-azure-%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-%EC%9E%85%EB%AC%B8-%EC%8B%A4%EC%8A%B5
실무자가 알려주는 CANoe (For CAN 통신),존버매니아,https://www.inflearn.com/course/%EC%8B%A4%EB%AC%B4%EC%9E%90%EA%B0%80-%EC%95%8C%EB%A0%A4%EC%A3%BC%EB%8A%94-canoe
대용랑 채팅 TPS에 대한 stateful 서비스 구축하기,July,https://www.inflearn.com/course/%EB%8C%80%EC%9A%A9%EB%9F%89-%EC%B1%84%ED%8C%85-%EC%84%9C%EB%B2%84-%EC%B2%98%EB%A6%AC-%EC%9B%B9%EC%86%8C%EC%BC%93-%ED%86%B5%EC%8B%A0-2
ChatGPT 100% 활용하여 배우는 파이썬 네트워크 프로그래밍 A to Z,고카,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-chatgpt
IT보안을 위한 와이어샤크 네트워크 패킷 분석 실전,보안프로젝트,https://www.inflearn.com/course/wireshark_boanproject
OpenStack을 활용한 클라우드 환경 구축하기,한국정보보호교육센터,https://www.inflearn.com/course/openstack-%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-%ED%99%98%EA%B2%BD-%EA%B5%AC%EC%B6%95%ED%95%98%EA%B8%B0
웹/네트워크/HTTP 베이스캠프 for developer,제주코딩베이스캠프,https://www.inflearn.com/course/%EC%9B%B9-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-http-%EC%A0%9C%EC%BD%94%EB%B2%A0
"컴퓨터구조, 네트워크 기본 개념 정리",더코딩클럽,https://www.inflearn.com/course/%EC%BB%B4%ED%93%A8%ED%84%B0%EA%B5%AC%EC%A1%B0-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-%EA%B0%9C%EB%85%90
'이것이 리눅스다' 저자의 Red Hat CentOS7 리눅스 서버&네트워크 강좌,한빛미디어,https://www.inflearn.com/course/%EC%9D%B4%EA%B2%83%EC%9D%B4-%EB%A6%AC%EB%88%85%EC%8A%A4%EB%8B%A4
언리얼 네트워크,SW School,https://www.inflearn.com/course/%EC%96%B8%EB%A6%AC%EC%96%BC-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC
[2024] 처음 시작하는 도커와 컨테이너,천강민,https://www.inflearn.com/course/%EC%B2%98%EC%9D%8C-%EC%8B%9C%EC%9E%91%ED%95%98%EB%8A%94-%EB%8F%84%EC%BB%A4-%EC%BB%A8%ED%85%8C%EC%9D%B4%EB%84%88
개념부터 철저한 gRPC! (with Python),배코블린,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EC%8B%9C%EC%9E%91%ED%95%98%EB%8A%94-grpc
AWS SAA-C03 자격증 대비-핵심 정리,쌤즈(SSAMZ),https://www.inflearn.com/course/aws-saa-c03-%ED%95%B5%EC%8B%AC%EC%A0%95%EB%A6%AC
"비전공자의 전공자 따라잡기 - 네트워크, HTTP",제로초(조현영),https://www.inflearn.com/course/%EC%A0%84%EA%B3%B5%EC%9E%90-%EB%94%B0%EB%9D%BC%EC%9E%A1%EA%B8%B0-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-http
네트워크 비전공자의 이야기,CJCHO,https://www.inflearn.com/course/%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-%EB%B9%84%EC%A0%84%EA%B3%B5%EC%9E%90-%EC%9D%B4%EC%95%BC%EA%B8%B0
AWS SAA-C03 자격증 대비-문제 풀이,쌤즈(SSAMZ),https://www.inflearn.com/course/aws-saa-c03-%EB%AC%B8%EC%A0%9C%ED%92%80%EC%9D%B4
키워드와 실습으로 읽는 웹 프론트엔드 기초개념 총정리,어메이징론,https://www.inflearn.com/course/%ED%82%A4%EC%9B%8C%EB%93%9C-%EC%8B%A4%EC%8A%B5-%EC%9B%B9%ED%94%84%EB%A1%A0%ED%8A%B8%EC%97%94%EB%93%9C-%EA%B8%B0%EC%B4%88%EA%B0%9C%EB%85%90
클라우드 입문자를 위한 AWS 핵심 서비스 이해와 실습,이상희강사,https://www.inflearn.com/course/%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-aws-%ED%95%B5%EC%8B%AC-%EC%84%9C%EB%B9%84%EC%8A%A4-%EC%9D%B4%ED%95%B4-%EC%8B%A4%EC%8A%B5
"네트워크, 그림으로 이해하자",예술하는 개발자,https://www.inflearn.com/course/%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-%EA%B7%B8%EB%A6%BC-%EC%9D%B4%ED%95%B4
국가공인 산업보안관리사(ISE) 자격증 대비,Digital Spec Up,https://www.inflearn.com/course/%EC%82%B0%EC%97%85%EB%B3%B4%EC%95%88%EA%B4%80%EB%A6%AC%EC%82%AC-%EC%9E%90%EA%B2%A9%EC%A6%9D-%EB%8C%80%EB%B9%84-dsu
24년 개인정보보호법 시행령 개정 해설 강의,ISMS-P WIN,https://www.inflearn.com/course/%EA%B0%9C%EC%9D%B8%EC%A0%95%EB%B3%B4%EB%B3%B4%ED%98%B8%EB%B2%95-%EC%8B%9C%ED%96%89%EB%A0%B9-%EA%B0%9C%EC%A0%95-%ED%95%B4%EC%84%A4
"컴퓨터 과학 (7): 웹응용 - 네트워크, 클라우드, WWW, 정보 보안",드립커피+한모금더,https://www.inflearn.com/course/%EC%BB%B4%ED%93%A8%ED%84%B0%EA%B8%B0%EC%B4%88-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-7
C# TCP/IP 소켓 프로그래밍,에릭권,https://www.inflearn.com/course/%EC%94%A8%EC%83%B5-tcp-ip-%EC%86%8C%EC%BC%93%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D
웹 개발자라면 꼭 알아야 할 보안 기초,Jason,https://www.inflearn.com/course/%EC%9B%B9-%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%95%8C%EC%95%84%EC%95%BC-%ED%95%A0-%EB%B3%B4%EC%95%88-%EA%B8%B0%EC%B4%88
2023년 개인정보보호 법령 제개정 내용 강의,ISMS-P WIN,https://www.inflearn.com/course/%EA%B0%9C%EC%9D%B8%EC%A0%95%EB%B3%B4%EB%B3%B4%ED%98%B8-%EB%B2%95%EB%A0%B9-%EC%A0%9C%EA%B0%9C%EC%A0%95-%EB%82%B4%EC%9A%A9-%EA%B0%95%EC%9D%98
시스코 네트워킹 아카데미: 사물인터넷 기초,애스코(ASCKOR),https://www.inflearn.com/course/%EC%82%AC%EB%AC%BC%EC%9D%B8%ED%84%B0%EB%84%B7-%EA%B8%B0%EC%B4%88-%EC%8B%9C%EC%8A%A4%EC%BD%94
5G 네트워크 이해하기,조슈아,https://www.inflearn.com/course/5g-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-%EC%9D%B4%ED%95%B4%ED%95%98%EA%B8%B0
누구나 쉽게 이해하는 4차 산업혁명 ICBM기술,조슈아,https://www.inflearn.com/course/%EB%88%84%EA%B5%AC%EB%82%98-%EC%89%BD%EA%B2%8C-4%EC%B0%A8%EC%82%B0%EC%97%85%ED%98%81%EB%AA%85-icbm
네이버클라우드 보안 아키텍처 및 비용,지금 당장,https://www.inflearn.com/course/%EB%84%A4%EC%9D%B4%EB%B2%84%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-%EB%B3%B4%EC%95%88-%EC%95%84%ED%82%A4%ED%85%8D%EC%B2%98-%EB%B9%84%EC%9A%A9
