과목명,강사,url
독하게 시작하는 C 프로그래밍,널널한 개발자,https://www.inflearn.com/course/%EB%8F%85%ED%95%98%EA%B2%8C-%EC%8B%9C%EC%9E%91%ED%95%98%EB%8A%94-c%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D
Windows 소켓 프로그래밍 입문에서 고성능 서버까지!,널널한 개발자,https://www.inflearn.com/course/%EC%9C%88%EB%8F%84%EC%9A%B0-%EC%86%8C%EC%BC%93-%EC%9E%85%EB%AC%B8-%EA%B3%A0%EC%84%B1%EB%8A%A5-%EC%84%9C%EB%B2%84
독하게 되새기는 C 프로그래밍,널널한 개발자,https://www.inflearn.com/course/%EB%8F%85%ED%95%98%EA%B2%8C-%EB%90%98%EC%83%88%EA%B8%B0%EB%8A%94-c%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D
Windows 시스템 프로그래밍 - 기본,널널한 개발자,https://www.inflearn.com/course/%EC%9C%88%EB%8F%84%EC%9A%B0-%EC%8B%9C%EC%8A%A4%ED%85%9C-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D-%EA%B8%B0%EB%B3%B8
곰책으로 쉽게 배우는 최소한의 운영체제론,널널한 개발자,https://www.inflearn.com/course/%EA%B3%B0%EC%B1%85-%EC%89%BD%EA%B2%8C-%EB%B0%B0%EC%9A%B0%EB%8A%94-%EC%9A%B4%EC%98%81%EC%B2%B4%EC%A0%9C
리눅스 입문 - 개념으로 탄탄히!!,런잇(ProgCoach4U),https://www.inflearn.com/course/%EB%A6%AC%EB%88%85%EC%8A%A4-%EC%9E%85%EB%AC%B8
한국에서 제일 쉬운 리눅스 커널 강의,ojtube5,https://www.inflearn.com/course/%ED%95%9C%EA%B5%AD%EC%97%90%EC%84%9C-%EC%A0%9C%EC%9D%BC%EC%89%AC%EC%9A%B4-%EB%A6%AC%EB%88%85%EC%8A%A4%EC%BB%A4%EB%84%90-%EA%B0%95%EC%9D%98
자동차 사이버 보안,윤우주,https://www.inflearn.com/course/%EC%9E%90%EB%8F%99%EC%B0%A8-%EC%82%AC%EC%9D%B4%EB%B2%84-%EB%B3%B4%EC%95%88
실리콘밸리 엔지니어와 함께하는 리눅스 실전,미쿡엔지니어,https://www.inflearn.com/course/%EC%8B%A4%EB%A6%AC%EC%BD%98%EB%B0%B8%EB%A6%AC-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4%EC%99%80-%ED%95%A8%EA%BB%98%ED%95%98%EB%8A%94-%EB%A6%AC%EB%88%85%EC%8A%A4-%EC%8B%A4%EC%A0%84
시스템 소프트웨어 개발을 위한 Arm 아키텍처의 구조와 원리 - 1부 저자 직강 (2024년 버전),김동현 (Austin Kim),https://www.inflearn.com/course/%EC%8B%9C%EC%8A%A4%ED%85%9C%EC%86%8C%ED%94%84%ED%8A%B8%EC%9B%A8%EC%96%B4-%EA%B0%9C%EB%B0%9C-arm-%EC%95%84%ED%82%A4%ED%85%8D%EC%B2%98-%EA%B5%AC%EC%A1%B0%EC%99%80%EC%9B%90%EB%A6%AC-1%EB%B6%80
